problem_family,base_setting,seed,step,eval_algo,vector_source,source_algo,target_relative_op_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,2,1,Adam,own_vectors,Adam,0.001,0.00014631053186303964,0.00014624186480033909,6.866706270055472e-08,6.850424142944404e-08,0.159680675993767,0.006489574404460374
MatrixFactorizationInput,MF input kappa=1e+02,2,1,Adam,other_vectors,Muon,0.001,0.00014631053186303964,0.00014627903268778905,3.1499175250586766e-08,3.1482947877358564e-08,0.07338550569180351,0.006489574404460375
MatrixFactorizationInput,MF input kappa=1e+02,2,1,Muon,own_vectors,Muon,0.001,0.0001489476224121525,0.00014893891253783676,8.70987431573285e-09,8.670182317018643e-09,0.056354413881851,0.006394756332950885
MatrixFactorizationInput,MF input kappa=1e+02,2,1,Muon,other_vectors,Adam,0.001,0.0001489476224121525,0.00014894316505895458,4.457353197911268e-09,4.450046482465004e-09,0.028924393063114038,0.0063947563329508844
MatrixFactorizationInput,MF input kappa=1e+02,2,3,Adam,own_vectors,Adam,0.001,0.00011279340941398702,0.00011244949662035934,3.439127936276772e-07,3.428813632839822e-07,0.27818042290541584,0.0068477358568448865
MatrixFactorizationInput,MF input kappa=1e+02,2,3,Adam,other_vectors,Muon,0.001,0.00011279340941398702,0.00011246528676739596,3.281226465910584e-07,3.271696123187079e-07,0.2654334439321531,0.0068477358568448865
MatrixFactorizationInput,MF input kappa=1e+02,2,3,Muon,own_vectors,Muon,0.001,0.0001477952429329342,0.0001477755575134885,1.9685419445702535e-08,1.9589015508837532e-08,0.08436195088562491,0.006515493851942657
MatrixFactorizationInput,MF input kappa=1e+02,2,3,Muon,other_vectors,Adam,0.001,0.0001477952429329342,0.00014777673972906846,1.8503203865741138e-08,1.8422660309876277e-08,0.07933893173667528,0.006515493851942655
MatrixFactorizationInput,MF input kappa=1e+02,2,10,Adam,own_vectors,Adam,0.001,1.3687711090143477e-05,1.3372665097918272e-05,3.1504599222520523e-07,3.2222357671315117e-07,0.35815900684925606,0.0073601801679407325
MatrixFactorizationInput,MF input kappa=1e+02,2,10,Adam,other_vectors,Muon,0.001,1.3687711090143477e-05,1.3519273536418055e-05,1.68437553725422e-07,1.790526325604012e-07,0.1990211694182361,0.0073601801679407325
MatrixFactorizationInput,MF input kappa=1e+02,2,10,Muon,own_vectors,Muon,0.001,0.0001361576861610539,0.00013602692447644958,1.3076168460431905e-07,1.30241650493923e-07,0.16447751714156597,0.006964180368281862
MatrixFactorizationInput,MF input kappa=1e+02,2,10,Muon,other_vectors,Adam,0.001,0.0001361576861610539,0.00013609504046832398,6.264569272991559e-08,6.258443831818242e-08,0.0790356463330786,0.006964180368281861
MatrixFactorizationInput,MF input kappa=1e+02,3,0,Adam,own_vectors,Adam,0.001,0.00016144123210250178,0.00016143389715382592,7.334948675866279e-09,7.338771863242744e-09,0.04435912480760964,0.006330244973323977
MatrixFactorizationInput,MF input kappa=1e+02,3,0,Adam,other_vectors,Muon,0.001,0.00016144123210250178,0.00016143389715382592,7.334948675866279e-09,7.338771863242744e-09,0.04435912480760964,0.006330244973323977
MatrixFactorizationInput,MF input kappa=1e+02,3,0,Muon,own_vectors,Muon,0.001,0.00016144123210250178,0.00016143389715382592,7.334948675866279e-09,7.338771863242744e-09,0.04435912480760964,0.006330244973323977
MatrixFactorizationInput,MF input kappa=1e+02,3,0,Muon,other_vectors,Adam,0.001,0.00016144123210250178,0.00016143389715382592,7.334948675866279e-09,7.338771863242744e-09,0.04435912480760964,0.006330244973323977
MatrixFactorizationInput,MF input kappa=1e+02,3,1,Adam,own_vectors,Adam,0.001,0.00015702013446579352,0.00015695641911681691,6.371534897660369e-08,6.350437103223817e-08,0.15061878652715993,0.006445876878956747
MatrixFactorizationInput,MF input kappa=1e+02,3,1,Adam,other_vectors,Muon,0.001,0.00015702013446579352,0.00015698763952119322,3.249494460029435e-08,3.238924628263256e-08,0.0768203651547528,0.006445876878956747
MatrixFactorizationInput,MF input kappa=1e+02,3,1,Muon,own_vectors,Muon,0.001,0.00016099944803439297,0.0001609909601495066,8.487884886371373e-09,8.45969053811285e-09,0.04773639339345148,0.006393555573982302
MatrixFactorizationInput,MF input kappa=1e+02,3,1,Muon,other_vectors,Adam,0.001,0.00016099944803439297,0.0001609954271331063,4.020901286678081e-09,4.007980093820993e-09,0.02261625453198218,0.006393555573982302
MatrixFactorizationInput,MF input kappa=1e+02,3,3,Adam,own_vectors,Adam,0.001,0.00012099468907843818,0.00012061151319524738,3.8317588319079657e-07,3.81957134209731e-07,0.2888038513001982,0.0067671369669713806
MatrixFactorizationInput,MF input kappa=1e+02,3,3,Adam,other_vectors,Muon,0.001,0.00012099468907843818,0.00012066641377910282,3.282752993353583e-07,3.27399707551434e-07,0.24755211511115108,0.0067671369669713806
MatrixFactorizationInput,MF input kappa=1e+02,3,3,Muon,own_vectors,Muon,0.001,0.0001598111868880388,0.00015979250803908684,1.867884895197171e-08,1.8588015075061054e-08,0.07039156275624543,0.00651363674397797
