metric,problem_family,layer_group,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_2,750,120,630,0.6160710153309455,0.5947471963065004,0.6381593697085813,-0.00675474814677412,-0.007541376535451501,-0.00596811975809674,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_3,750,127,623,0.6223416118474095,0.6010355205425583,0.6444029821851553,-0.0065161809347127194,-0.007292811302100218,-0.005739550567325221,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_4,750,131,619,0.6288886505561766,0.6075132298518682,0.6510161678204194,-0.0062621340983550575,-0.007031932041694112,-0.005492336155016003,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_5,750,138,612,0.6363364841867848,0.6147245065762261,0.6587082778958439,-0.0060381385204993,-0.006806678593223769,-0.0052695984477748314,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_6,750,142,608,0.6440816919472979,0.6222710258434897,0.6666568242340639,-0.005811837552366032,-0.006575817183348814,-0.005047857921383249,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_7,750,137,613,0.6491040241885576,0.6274404043431583,0.6715156233186146,-0.005704036312732951,-0.006457846516596995,-0.004950226108868906,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_8,750,140,610,0.6527427711402138,0.6315260497380416,0.6746722885818275,-0.005626452115265152,-0.006362202883129596,-0.004890701347400708,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_9,750,135,615,0.653671498991457,0.6332494251658835,0.6747521775985951,-0.005670481212127359,-0.006382465891137399,-0.004958496533117319,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_10,750,0,750,0.24477319482893767,0.2388200529293563,0.25087473255224424,-0.011564030243399505,-0.012329031055934928,-0.010799029430864082,False,True
mean_relative_sample_activation_delta,SmallMLPDigits,layer_1,150,0,150,0.0759021394693174,0.07249948083858875,0.07946449697820836,-0.17730617058573225,-0.20347872665172517,-0.15113361451973933,False,True
mean_relative_sample_activation_delta,SmallMLPDigits,layer_2,150,0,150,0.1705898820309841,0.16481681450126545,0.17656516381173987,-0.06434610175339207,-0.07342446772578688,-0.055267735780997265,False,True
