search_id,setting_id,phase,multiplicity_family,planned_family_size,dataset,model,partition_id,warmup_steps,target_head_gain_fraction_registered,seed,frobenius_tail_output_drift_fro,spectral_tail_output_drift_fro,tail_output_drift_sq_ratio_spectral_over_fro,log_tail_output_drift_sq_ratio_spectral_over_fro
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.002,2,1.0680171251296997,0.971605658531189,0.8276060140917998,-0.1892180662306766
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.002,3,1.1089966297149658,0.9810641407966614,0.7825901029757344,-0.24514621562397815
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.002,4,1.1389801502227783,1.012349247932434,0.7900024139309619,-0.23571927791692565
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.005,0,1.4289472103118896,1.0719826221466064,0.5627857862578314,-0.574856209466243
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.005,1,1.497017741203308,1.0838723182678225,0.5242064435186644,-0.6458696960686752
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.005,2,1.358080506324768,1.059586763381958,0.6087262326160509,-0.4963866482780445
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.005,3,1.4662604331970217,1.0652647018432615,0.5278285078198917,-0.6389838438291137
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.005,4,1.4293277263641355,1.093256592750549,0.5850332819194428,-0.536086541198591
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.002,0,1.187291383743286,1.0780346393585205,0.8244243288863965,-0.19306991937944493
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.002,1,1.2067618370056152,1.086217999458313,0.8101974188966105,-0.21047733397940832
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.002,2,1.160421371459961,1.0670465230941772,0.845542171292485,-0.1677772345455435
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.002,3,1.214403510093689,1.0843631029129028,0.7973030686608257,-0.2265204106653086
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.002,4,0.7567920088768005,0.7245227694511414,0.9165391103551405,-0.08715053901206163
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.005,0,1.4838024377822876,1.1694283485412598,0.6211479761441026,-0.4761859385679547
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.005,1,1.479181170463562,1.1847715377807615,0.6415440557195714,-0.4438774211823257
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.005,2,1.43839693069458,1.1667050123214722,0.6579071889604974,-0.4186914078173466
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.005,3,1.5361599922180176,1.1787736415863037,0.5888272928499833,-0.5296223592959941
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,5000,0.005,4,0.8230021595954895,0.763314962387085,0.8602122070790748,-0.15057616775542557
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.002,0,0.0981641411781311,0.081040158867836,0.6815454530275454,-0.3833923345046031
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.002,1,0.1056241393089294,0.0817524492740631,0.5990667002204516,-0.5123823344441417
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.002,2,0.0979665145277977,0.0806391015648841,0.6775417275299593,-0.3892841376747705
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.002,3,0.095486395061016,0.0795711576938629,0.6944298143340165,-0.3646641811688454
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.002,4,0.0975539088249206,0.0792679488658905,0.6602461691068714,-0.41514253000745877
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.005,0,0.1830714344978332,0.1052762866020202,0.33068915036992436,-1.1065764676065981
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.005,1,0.1928120255470276,0.1097356975078582,0.323912436463408,-1.1272820575450235
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.005,2,0.1735577434301376,0.1067026332020759,0.3779743112871013,-0.9729290452298378
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.005,3,0.1553827673196792,0.0967181771993637,0.3874453940053793,-0.948180358814503
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,500,0.005,4,0.1833390444517135,0.1033449470996856,0.3177375683451205,-1.146529493690147
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,5000,0.002,0,0.1145628988742828,0.0951781272888183,0.6902180653621476,-0.37074769456319284
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,5000,0.002,1,0.116057388484478,0.0940496921539306,0.6567032550520083,-0.42052302911711015
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,5000,0.002,2,0.1206034868955612,0.0966639220714569,0.6424052714869835,-0.44253591045706514
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,5000,0.002,3,0.1079744175076484,0.0908163711428642,0.7074350104534048,-0.34610951170033927
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,resnet18_cifar_stem,cifar10_cross_a,5000,0.002,4,0.1165842935442924,0.0932289436459541,0.6394718568587807,-0.4471126669710578
