group_type,problem_family,base_setting,target_relative_update_norm,metric,n_pairs,muon_higher_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.3,update_grad_inner,25,17,0.68,1.33758944693102,1.1204405598554326,1.5968232431465001,True,False,0.0010720349831113097,0.00039566355843883693,0.0017484064077837825
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.3,delta_loss,25,20,0.8,1.0758830913328605,1.0172164379404522,1.137933268714749,True,False,0.0009565131484986722,0.00046513232114446686,0.0014478939758528777
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.3,update_grad_cosine,25,20,0.8,1.7358479231818023,1.3061803595299317,2.306854478732903,True,False,0.3672599878414453,0.18434813248505136,0.5501718431978393
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.001,update_grad_inner,25,25,1.0,1.034807288603628,1.0331308638936285,1.036486433588383,True,False,8.648871102338341e-07,8.269576872780727e-07,9.028165331895956e-07
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.001,delta_loss,25,25,1.0,1.0347855542482804,1.0331103637836685,1.0364634610374894,True,False,8.637768300024523e-07,8.259044718318522e-07,9.016491881730523e-07
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.001,update_grad_cosine,25,25,1.0,1.034958264049054,1.0332734540656756,1.0366458212090575,True,False,0.027873236479961525,0.0266360024550149,0.02911047050490815
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.003,update_grad_inner,25,25,1.0,1.0338197439381156,1.0321070916276316,1.0355352381803724,True,False,2.508530502144284e-06,2.391307472260237e-06,2.625753532028331e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.003,delta_loss,25,25,1.0,1.0337550568499732,1.0320457013495679,1.0354672435197958,True,False,2.498759378811791e-06,2.3820232452056056e-06,2.615495512417976e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.003,update_grad_cosine,25,25,1.0,1.034271247904829,1.032551988762092,1.0359933697140777,True,False,0.02733415090118009,0.026070658696625185,0.028597643105734996
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.01,update_grad_inner,25,25,1.0,1.0309234775222254,1.0289346955269445,1.0329161035455499,True,False,7.5189302902777765e-06,7.034786308781293e-06,8.00307427177426e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.01,delta_loss,25,25,1.0,1.0307149504099529,1.0287365008543765,1.032697204888015,True,False,7.418201212876022e-06,6.939818316272607e-06,7.896584109479437e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.01,update_grad_cosine,25,25,1.0,1.0324182828408346,1.0305583897743062,1.0342815325364034,True,False,0.025872193210853798,0.024498593371090855,0.02724579305061674
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.03,update_grad_inner,25,25,1.0,1.0228589136735824,1.0191647893133196,1.0265664279732665,True,False,1.614291172217687e-05,1.335884532466371e-05,1.892697811969003e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.03,delta_loss,25,25,1.0,1.0223749663048296,1.0187459546361082,1.0260169053629868,True,False,1.5475561126932734e-05,1.2793428595228772e-05,1.8157693658636697e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.03,update_grad_cosine,25,25,1.0,1.027170182506966,1.0244338806256748,1.0299137931547153,True,False,0.02172281139936327,0.01967080478397595,0.02377481801475059
