problem_family,base_setting,setting,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,3,3.434992805559573e-06,7.064942179808062e-07,0.00015660933673569834,0.00016003139526084414,0.9860386339423464,0.9959272373612208,0.7362540389589823,0.2587467166325552,2.856407990022599e-06,6.289990948264758e-07,0.20567560340660324,-2.728498587578767e-06,False,0.22020632102401427,-2.2274088951961235e-06,False,0.35143673642647455,-0.4775073223264271,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,4,4.709143294094376e-06,8.880610576831021e-07,0.00015317434393013877,0.00015932490104286334,0.9760122030806648,0.9938548799793324,0.7807106459496953,0.27319224114393054,4.025132043723526e-06,7.952248628960086e-07,0.18858229665612392,-3.8210822364112735e-06,False,0.19756491321471542,-3.2299071808275177e-06,False,0.349927649329805,-0.5075184048057648,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,5,6.17500754574837e-06,1.1024386170823829e-06,0.0001484652006360444,0.00015843683998518023,0.9621856131643738,0.9912487262129517,0.8127857260489055,0.2864274746634153,5.4087391789630875e-06,9.941947721211499e-07,0.17853235140440216,-5.072568928665987e-06,False,0.18381266672795035,-4.414544406841937e-06,False,0.3524021959093569,-0.5263582513854903,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,6,7.780664316802235e-06,1.3510917002232284e-06,0.00014229019309029603,0.00015733440136809785,0.9438206482028417,0.9880080773963359,0.8331793801876936,0.2981484509170146,6.960164654823349e-06,1.2263711121469374e-06,0.17364734490672795,-6.429572616579006e-06,False,0.17619857761512442,-5.7337935426764114e-06,False,0.3578442505980519,-0.535030929270679,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,7,9.429316263452256e-06,1.6367547184691533e-06,0.0001345095287734938,0.00015598330966787462,0.9202003348401346,0.9840256860053379,0.8433199656582848,0.3085075461178381,8.60626785003642e-06,1.4942691130547701e-06,0.17358148488593653,-7.792561544983103e-06,False,0.17362568061932288,-7.11199873698165e-06,False,0.3658250233374008,-0.5348124195404467,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,8,1.0996978928664151e-05,1.9620857282549994e-06,0.00012508021251004153,0.00015434655494940547,0.8907481862839371,0.9791826759442745,0.845988264295724,0.31772892280242604,1.025073989296766e-05,1.8011354013062973e-06,0.17842043173700453,-9.034893200409152e-06,False,0.17570784354229246,-8.449604491661362e-06,False,0.37557131252515885,-0.528259341493298,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,9,1.2326132635158773e-05,2.3230203817706913e-06,0.00011408323358137738,0.00015238446922115047,0.8550912860719023,0.9733474478533207,0.8442117818627626,0.3259133792784043,1.17698812461775e-05,2.1423447085118804e-06,0.18846303626042138,-1.0003112253388082e-05,False,0.18201922888624292,-9.62753653766562e-06,False,0.38605642124452805,-0.5182984025843582,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,4,0,8.40642815708051e-07,4.170227678999849e-07,0.00014765915682122912,0.00014765915682122912,1.001229148681757,1.001229148681757,0.5355204963218892,0.2562001178905887,9.314914033406565e-07,4.456378588477032e-07,0.49607605050277837,-4.236200478080661e-07,False,0.47841328137810907,-4.858535444929533e-07,False,0.47841328137810923,-0.27932037843130053,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,4,1,1.1319522929971709e-06,4.085413959183852e-07,0.00014681851400552106,0.00014724213405332913,0.9986377286724174,0.9998850837994538,0.6280329296795848,0.25462580203181145,9.87807906069097e-07,4.0352434400086893e-07,0.36091750371974934,-7.234108970787857e-07,False,0.4085048737933897,-5.84283562068228e-07,False,0.4054338395308644,-0.37340712764777334,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,4,2,1.8280079920678604e-06,4.705041191321814e-07,0.0001456865617125239,0.00014683359265741075,0.9950282737691772,0.9985678139015116,0.7381125994132832,0.26637384931106545,1.4904263743492864e-06,4.31222921190704e-07,0.25738624840471436,-1.357503872935679e-06,False,0.2893285630288004,-1.0592034531585824e-06,False,0.36088511363009224,-0.4717387501022178,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,4,3,2.684830191975986e-06,5.85257138646959e-07,0.00014385855372045603,0.00014636308853827856,0.9893909845048264,0.9970683195275355,0.7759612315743183,0.282415833556786,2.2558475757113632e-06,5.236524469533832e-07,0.21798664973154983,-2.099573053329027e-06,False,0.2321311300424425,-1.73219512875798e-06,False,0.3639561128380129,-0.4935453980175323,False
