run_id,problem_family,base_setting,setting,target_relative_update_norm,algo,seed,final_step,final_loss,recovery_error,initial_loss,total_loss_decrease
97,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Muon,3,5,0.00865744514746038,1.1199945182294684,0.012269097258227316,0.0036116521107669355
98,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Adam,4,5,0.009196313207103478,1.13412953656916,0.012768712634677852,0.003572399427574374
99,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Muon,4,5,0.009094239997542317,1.1424989244795958,0.012768712634677852,0.003674472637135535
100,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Adam,0,5,0.003120095311901902,1.097896991641786,0.012595069754438687,0.009474974442536786
101,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Muon,0,5,0.003096141591280663,1.1278165619706613,0.012595069754438687,0.009498928163158024
102,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Adam,1,5,0.0034497260490375403,1.1195503552820507,0.012757591945778827,0.009307865896741287
103,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Muon,1,5,0.003378851653771524,1.1510937079352386,0.012757591945778827,0.009378740292007304
104,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Adam,2,5,0.002942014300621901,1.0932856292865065,0.012096481701537817,0.009154467400915916
105,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Muon,2,5,0.0028584224731574787,1.1212820131537022,0.012096481701537817,0.009238059228380339
106,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Adam,3,5,0.003049516399457062,1.076073276887048,0.012269097258227316,0.009219580858770254
107,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Muon,3,5,0.0029778901514684775,1.1092224060991578,0.012269097258227316,0.009291207106758839
108,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Adam,4,5,0.0033274234553607187,1.103655147918825,0.012768712634677852,0.009441289179317133
109,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-01,0.1,Muon,4,5,0.0032265076110955713,1.1327939196634598,0.012768712634677852,0.00954220502358228
110,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Adam,0,5,0.0062276403720902115,1.2143679448587004,0.012595069754438687,0.006367429382348476
111,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Muon,0,5,0.0010680478720790408,1.161001189855319,0.012595069754438687,0.011527021882359646
112,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Adam,1,5,0.005275711438383541,1.2182355421759925,0.012757591945778827,0.007481880507395286
113,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Muon,1,5,0.0011684053042339178,1.1877240125575341,0.012757591945778827,0.011589186641544909
114,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Adam,2,5,0.00615074852094229,1.2091814186223258,0.012096481701537817,0.005945733180595526
115,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Muon,2,5,0.0009562354073869905,1.149334143021486,0.012096481701537817,0.011140246294150826
116,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Adam,3,5,0.005819840171913617,1.1796794550055858,0.012269097258227316,0.006449257086313699
117,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Muon,3,5,0.001038099389926244,1.1451012715688174,0.012269097258227316,0.011230997868301071
118,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Adam,4,5,0.005811476125601341,1.2209471994267382,0.012768712634677852,0.0069572365090765104
119,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-01,0.3,Muon,4,5,0.0011417999428380008,1.1722536306714413,0.012768712634677852,0.01162691269183985
120,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Adam,0,10,0.00013832669972294972,0.9991928494551452,0.00013841039608334963,8.369636039990466e-08
121,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Muon,0,10,0.0001383752900411147,0.9993430990057509,0.00013841039608334963,3.5106042234925e-08
122,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Adam,1,10,0.00014449064100469132,0.9993472104130188,0.00014457183933332286,8.119832863154102e-08
123,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Muon,1,10,0.00014453812496026822,0.9995036992649695,0.00014457183933332286,3.371437305463927e-08
124,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Adam,2,10,0.00013644140824177036,0.9993194190325364,0.00013650870631623234,6.729807446197492e-08
125,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Muon,2,10,0.00013648089705140245,0.9994534645796825,0.00013650870631623234,2.780926482989039e-08
126,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Adam,3,10,0.00014687949719179515,0.9994678069273514,0.00014695216996577507,7.267277397991333e-08
127,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Muon,3,10,0.00014692134422198192,0.9996001064139068,0.00014695216996577507,3.082574379315115e-08
128,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Adam,4,10,0.00013367171130130215,1.0010884495500914,0.0001337588217194671,8.711041816494174e-08
129,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=1e-04,0.0001,Muon,4,10,0.00013372354151507243,1.0012549828077346,0.0001337588217194671,3.5280204394662383e-08
130,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Adam,0,10,0.00013814871255795946,0.9986078510001243,0.00013841039608334963,2.6168352539016775e-07
131,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Muon,0,10,0.00013830405959995324,0.9991131089631963,0.00013841039608334963,1.0633648339639155e-07
132,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Adam,1,10,0.00014431535749074938,0.9987635339314518,0.00014457183933332286,2.564818425734828e-07
133,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Muon,1,10,0.00014447013371163365,0.9992811145042535,0.00014457183933332286,1.017056216892165e-07
134,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Adam,2,10,0.0001362985632661148,0.9988273057813879,0.00013650870631623234,2.1014305011754107e-07
135,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Muon,2,10,0.0001364248484300447,0.9992584271213462,0.00013650870631623234,8.385788618763142e-08
136,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Adam,3,10,0.00014671620617350307,0.9989147105566311,0.00014695216996577507,2.3596379227199741e-07
137,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Muon,3,10,0.00014685898243543195,0.9993962196980832,0.00014695216996577507,9.318753034311578e-08
138,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Adam,4,10,0.00013349987299815088,1.0005029329717554,0.0001337588217194671,2.58948721316212e-07
139,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 target=3e-04,0.0003,Muon,4,10,0.00013365472522615675,1.0010101798939188,0.0001337588217194671,1.0409649331034215e-07
