metric,problem_family,layer_group,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_8,750,622,128,1.384454966744072,1.353600009559667,1.4160132545845998,0.002655952079330138,0.002348978222347341,0.002962925936312935,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_9,750,640,110,1.4003648585859378,1.3698135619602445,1.4315975484693937,0.0028318430505185,0.0025273015466863833,0.003136384554350617,True,False
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_10,750,192,558,0.7453180864472893,0.7280749446098363,0.7629696009977818,-0.04777655850149525,-0.0546691066375819,-0.040884010365408605,False,True
relative_activation_delta_fro_norm,SmallMLPDigits,layer_1,150,0,150,0.5019863813568464,0.46973570820626603,0.5364512909397331,-0.11735619486690624,-0.14281259125273238,-0.0918997984810801,False,True
relative_activation_delta_fro_norm,SmallMLPDigits,layer_2,150,75,75,1.0154399327267276,0.9890708585318092,1.0425120183064212,-0.004014417869692412,-0.009907651211685482,0.0018788154723006585,False,False
relative_activation_delta_op_norm,All,all_layers,7800,2379,5421,0.8389971044350354,0.8310136629948901,0.8470572417708878,-0.03100991956755986,-0.03335298704889533,-0.028666852086224392,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,all_layers,7500,2267,5233,0.8433024054743419,0.8352528983802737,0.8514294873539427,-0.029979903256457094,-0.03230154341767216,-0.027658263095242025,False,True
relative_activation_delta_op_norm,SmallMLPDigits,all_layers,300,112,188,0.7382246342807516,0.6922722648074168,0.7872272779995834,-0.056760327345129064,-0.07505559419787447,-0.038465060492383664,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_1,750,0,750,0.40904043816769137,0.4004361479590208,0.41782961131056345,-0.15531880983530366,-0.1683762423711939,-0.14226137729941343,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_2,750,287,463,0.992290731080119,0.9751799499278306,1.009701742801815,-0.00021376172820813648,-0.00047955658643713227,5.2033130020859335e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_3,750,289,461,0.9924737766264555,0.9756445055687071,1.009593342317873,-0.00020937583416169543,-0.0004748573203465222,5.610565202313132e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_4,750,285,465,0.992484825234574,0.9757960259685805,1.0094590489269113,-0.00021508391275571988,-0.00047954014282908854,4.9372317317648775e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_5,750,285,465,0.9927940732134372,0.9761205727599037,1.009752380303704,-0.0002203160859531075,-0.00048453880266914704,4.3906630762932035e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_6,750,280,470,0.9930854682204684,0.9764267949956053,1.010028352606921,-0.00022743149557615368,-0.0004913586972479062,3.649570609559887e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_7,750,279,471,0.993350204806181,0.9767344341409548,1.0102486355529494,-0.0002365793085635906,-0.0004998647381881102,2.670612106092898e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_8,750,276,474,0.99381062628311,0.9772630867868467,1.0106383575384632,-0.00024104195622489763,-0.0005033048481023597,2.1220935652564423e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_9,750,281,469,0.9953012281519104,0.9787997681458901,1.0120808841600057,-0.0002226567447040621,-0.0004845966083876475,3.928311897952332e-05,False,False
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_10,750,5,745,0.4696549795947781,0.4555860477471434,0.4841583734816086,-0.1426939756631199,-0.15635146989466361,-0.12903648143157617,False,True
relative_activation_delta_op_norm,SmallMLPDigits,layer_1,150,6,144,0.4835123719864381,0.4463975069252,0.5237130813616425,-0.13089060073974512,-0.16236289365763834,-0.0994183078218519,False,True
relative_activation_delta_op_norm,SmallMLPDigits,layer_2,150,106,44,1.1271182336451886,1.0929146104006515,1.1623922862095655,0.017369946049487005,0.009033927049280334,0.025705965049693677,True,False
max_relative_sample_activation_delta,All,all_layers,7800,1716,6084,0.7279252996286066,0.719822343269582,0.7361194700244977,-0.007630706006493093,-0.008062642411853473,-0.007198769601132713,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,all_layers,7500,1713,5787,0.7439319252467458,0.7357102040530624,0.7522455259590416,-0.006830572818878236,-0.007239999351604625,-0.006421146286151847,False,True
max_relative_sample_activation_delta,SmallMLPDigits,all_layers,300,3,297,0.4225978162518473,0.39792791861626925,0.4487971462817801,-0.02763403569686448,-0.0316433334786202,-0.02362473791510876,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_1,750,0,750,0.24219426489298093,0.24021454069180348,0.24419030495872446,-0.04456484533490028,-0.04711356685081947,-0.04201612381898109,False,True
