metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
mean_relative_layer_update_norm_mean_abs_speed,SmallMLPDigits,15,5,10,0.968340116237648,0.8456994821935828,1.1087657027801083,0.0007720488671994018,0.00035442894192998605,0.0011896687924688176,False,False
update_normalized_rank_plane_mean_speed,All,165,77,88,1.0718750531838839,1.009336319286415,1.13828870286786,7.157759098846906,2.1147876350887644,12.200730562605049,False,False
update_normalized_rank_plane_mean_speed,MatrixFactorizationInput,75,41,34,0.990379547737806,0.9038740172336927,1.0851641156576652,14.94487109068589,4.080680020000683,25.809062161371095,False,False
update_normalized_rank_plane_mean_speed,MatrixSensing,75,29,46,1.1769532190593148,1.0734431441614127,1.2904445730437206,0.7219480895586926,0.31193041103681635,1.1319657680805688,False,False
update_normalized_rank_plane_mean_speed,SmallMLPDigits,15,7,8,0.9971981743370592,0.9129246906899634,1.0892510729988258,0.4012541860930208,-0.4128621614170412,1.215370533603083,False,False
update_normalized_condition_mean_speed,All,165,91,74,0.9160409623069868,0.8489624429143987,0.9884195132869034,1.3380819536863613,-3.4445832417965367,6.12074714916926,True,False
update_normalized_condition_mean_speed,MatrixFactorizationInput,75,56,19,0.7026375228587876,0.6274766642797794,0.7868013531559834,2.2845825265141975,-8.264726805896842,12.833891858925238,True,False
update_normalized_condition_mean_speed,MatrixSensing,75,29,46,1.1769532190593155,1.0734431441614134,1.2904445730437215,0.5750556199719236,0.22785736750400487,0.9222538724398422,False,False
update_normalized_condition_mean_speed,SmallMLPDigits,15,6,9,0.985396780043514,0.9048260208660045,1.0731420093232729,0.42071075811936953,-0.4947062763633506,1.3361277926020896,False,False
per_update_rank_plane_mean_speed,All,165,75,90,1.072626105813556,1.0089922508944502,1.1402731407033464,7.170948769826425,2.123043517875022,12.218854021777828,False,False
per_update_rank_plane_mean_speed,MatrixFactorizationInput,75,41,34,0.9897125418611455,0.9022416128395099,1.085663642175068,14.96202671075104,4.0871432872832685,25.83691013421881,False,False
per_update_rank_plane_mean_speed,MatrixSensing,75,28,47,1.1785051888554179,1.0727327000196363,1.2947069480903501,0.7282028402974962,0.3126390755633066,1.1437666050316857,False,False
per_update_rank_plane_mean_speed,SmallMLPDigits,15,6,9,1.0016802843281813,0.911245532591989,1.1010900532568568,0.42928871284797976,-0.3841398614834639,1.2427172871794234,False,False
per_update_condition_mean_speed,All,165,91,74,0.9183656055461866,0.8507152077255641,0.9913956842326589,1.3584331459173302,-3.4269348614962727,6.143801153330934,True,False
per_update_condition_mean_speed,MatrixFactorizationInput,75,56,19,0.7046040061905827,0.6292705616372536,0.7889560322798156,2.319521214008743,-8.235508525673842,12.874550953691328,True,False
per_update_condition_mean_speed,MatrixSensing,75,28,47,1.1785051888554188,1.0727327000196367,1.294706948090351,0.5794619469512554,0.22794458744657164,0.9309793064559392,False,False
per_update_condition_mean_speed,SmallMLPDigits,15,7,8,0.9926329261769692,0.9059572799437164,1.0876010910711669,0.44784880029064583,-0.4639877531042001,1.3596853536854918,False,False
