problem_family,setting,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,nrG_std,stA_std,condition_score_std,mean_grad_rank_fraction_std,distance_to_MatrixFactorizationInput,distance_to_MatrixSensing,distance_to_SmallMLPDigits,inside_global_feature_fraction,nearest_current_family_distance,second_nearest_current_family_distance,bridge_score
MatrixSensing,scan MS d=40 r=10 kappa=1e+01 measurement_mult=0.5,40,10,10.0,10,10,0.5,64,1024,0.03300524410510453,1.0290818822442003,28.277254209222445,109.9400449974515,0.2572186717319374,0.706931355230561,0.3183515108860929,0.530079254832933,0.004072514087825191,0.007958787772152373,2.803200007863871,1.59784124740771,3.7366205463609314,1.0,1.59784124740771,2.803200007863871,0.26293647400407594
MatrixSensing,scan MS d=40 r=5 kappa=1e+00 measurement_mult=1,40,5,1.0,10,10,1.0,64,1024,0.06411755665436439,1.0201235452628732,28.34866058083594,109.9400449974515,0.2578530261473843,0.7087165145208986,0.2557139148285205,0.530079254832933,0.0013628407761871887,0.006392847870712979,2.8129339194834437,1.5971074707215454,3.7412756549433537,1.0,1.5971074707215454,2.8129339194834437,0.26226523226384024
MatrixSensing,scan MS d=40 r=10 kappa=1e+02 measurement_mult=1,40,10,100.0,10,10,1.0,64,1024,0.02201437670292639,1.0493878204635048,26.87874036825498,180.87784289922934,0.14860244893526134,0.6719685092063745,0.07685805885227509,0.33356539138332186,0.0006891925955087536,0.0019214514713068187,2.814110365009326,1.1930573544081478,3.8442380742882487,1.0,1.1930573544081478,2.814110365009326,0.26218433770926153
MatrixSensing,scan MS d=40 r=5 kappa=1e+02 measurement_mult=2,40,5,100.0,10,10,2.0,64,1024,0.01652804802183396,1.0774676363488083,26.88414633180842,180.87784289922934,0.14863252911632638,0.6721036582952103,0.11452618336272455,0.33356539138332186,0.0008846365875115664,0.0028631545840681555,2.814787927053616,1.1928451762198289,3.8445465857549097,1.0,1.1928451762198289,2.814787927053616,0.2621377699421311
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+00 input_mult=10,20,10,1.0,5,10,2.0,64,1024,0.01280981899834771,1.000081350954847,6.526380994105964,5.8792265337613046,1.270645746638153,0.6526380994105965,0.14084634861664203,0.1708488989503225,0.07625206997949101,0.014084634861664197,1.9961872516223125,3.0030128226259065,2.821203364844444,1.0,1.9961872516223125,2.821203364844444,0.2616976655050937
MatrixFactorizationInput,scan MF d=40 r=10 factors=5 kappa=1e+00 input_mult=2,40,10,1.0,5,2,2.0,64,1024,0.003194109302979081,1.000108237104677,6.905192400101477,6.052147103803069,1.4386570399275795,0.6905192400101475,0.2550891455224244,0.3587662963779803,0.10774390406726747,0.02550891455224243,2.2156448011841468,3.008809948786929,2.8253828594087302,1.0,2.2156448011841468,2.8253828594087302,0.26141174275940704
MatrixSensing,scan MS d=40 r=10 kappa=1e+00 measurement_mult=0.5,40,10,1.0,10,10,0.5,64,1024,0.12282595084220366,1.0053264258073282,28.47168274006624,109.9400449974515,0.2589869760440607,0.7117920685016559,0.309380833993065,0.530079254832933,0.003994465080062407,0.007734520849826657,2.8297132889452166,1.596001183329223,3.7493297143035016,1.0,1.596001183329223,2.8297132889452166,0.261116152712158
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=2,20,5,1.0,10,2,2.0,64,1024,0.0063347425773820154,0.999860004986072,3.056753632843962,3.011230301928414,1.1193904264643522,0.6113507265687924,0.553920884961023,0.2759520539357604,0.1596933534621536,0.1107841769922046,1.7442140006674651,3.1499639117778178,2.832208301999411,1.0,1.7442140006674651,2.832208301999411,0.260946149372481
MatrixFactorizationInput,scan MF d=40 r=10 factors=5 kappa=1e+01 input_mult=10,40,10,10.0,5,10,2.0,64,1024,0.0007806814186501187,1.0004114218203493,4.9243447837661,8.629335311891346,0.849054862331997,0.49243447837660986,0.2230757495258533,0.16096131129583682,0.030567922555061633,0.022307574952585382,1.1085390758417217,3.1585050853411265,2.832874394274767,1.0,1.1085390758417217,2.832874394274767,0.2609008011047056
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=2,20,10,1.0,2,2,2.0,64,1024,0.012445419343390681,0.9999146345085185,6.750528068918377,5.6550050460172185,1.3435216863181167,0.6750528068918377,0.3045892829861201,0.38978933724530984,0.09722080789353335,0.030458928298612034,2.1224085385980898,3.0027039373766966,2.834917333079209,1.0,2.1224085385980898,2.834917333079209,0.260761813918179
