problem_family,setting,seed,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,min_grad_rank_fraction,max_grad_rank_fraction
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=10,1,20,5,10.0,5,10,2.0,64,1024,0.001992031914789452,1.0005205502721826,2.5495640723780957,4.99219084648414,0.6881662154530404,0.5099128144756191,0.4706065948542634,0.5947804310338992
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=10,2,20,5,10.0,5,10,2.0,64,1024,0.001739209900669579,1.0003909206309671,2.459342030344768,4.752332012805599,0.6672135746187908,0.4918684060689536,0.44663623234078703,0.6212514280205549
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+02 input_mult=2,0,20,5,100.0,5,2,2.0,64,1024,0.001787529410803406,0.9998755383776079,1.6505194176082854,3.6969854285731976,0.5400279704792574,0.330103883521657,0.32166614949053857,0.3322892445330087
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+02 input_mult=2,1,20,5,100.0,5,2,2.0,64,1024,0.002031936275471876,1.000407220182659,2.074568429715931,3.7153275752950767,0.658224774317917,0.41491368594318623,0.3847625059385769,0.43316327071243227
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+02 input_mult=2,2,20,5,100.0,5,2,2.0,64,1024,0.0015196612598236132,1.0004605269253906,2.183703606279713,3.501909297306754,0.8059172938350155,0.4367407212559426,0.34449736100042083,0.4684588154720234
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+02 input_mult=10,0,20,5,100.0,5,10,2.0,64,1024,0.0014559142825048888,0.9998755383776079,1.7814178907213516,4.487555522765812,0.5634288652447095,0.3562835781442703,0.3442386760148669,0.38817018998040753
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+02 input_mult=10,1,20,5,100.0,5,10,2.0,64,1024,0.0015414072190455292,1.000407220182659,1.9547754082418365,4.99219084648414,0.5379322396279338,0.3909550816483673,0.3432198734680166,0.4147797320073533
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+02 input_mult=10,2,20,5,100.0,5,10,2.0,64,1024,0.0013000752120406105,1.0004605269253906,1.6279403949109739,4.752332012805599,0.4490817877033012,0.3255880789821947,0.308448018040515,0.3814807017228794
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=2,0,20,5,1.0,10,2,2.0,64,1024,0.005975859417617968,0.9999075383132182,3.4705678711272583,3.3281108891448583,1.137699828486658,0.6941135742254516,0.6800630551930411,0.8138255352575836
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=2,1,20,5,1.0,10,2,2.0,64,1024,0.0069123665010378055,1.0000438995353051,3.2722168239059486,2.8817651037537866,1.2691399151027412,0.6544433647811896,0.630349662191712,0.7537848469292454
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=2,2,20,5,1.0,10,2,2.0,64,1024,0.0061160018134902745,0.9996285771096923,2.427476203498679,2.823814912886598,0.9513315358036578,0.4854952406997358,0.4491955135870486,0.7671180867567665
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=10,0,20,5,1.0,10,10,2.0,64,1024,0.006288724387159556,0.9999075383132182,3.4598433214486852,3.443098724171547,1.2390366997702957,0.691968664289737,0.6648994982675317,0.9197157519940153
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=10,1,20,5,1.0,10,10,2.0,64,1024,0.00648677424117263,1.0000438995353051,2.9506162527655366,3.78577836677549,0.9399028965505977,0.5901232505531075,0.549043511479878,0.8468386719677099
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+00 input_mult=10,2,20,5,1.0,10,10,2.0,64,1024,0.006710771537672473,0.9996285771096923,2.987465008446801,3.731532211369166,0.933400865751555,0.5974930016893603,0.5610241261870708,0.8978200760196481
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=2,0,20,5,10.0,10,2,2.0,64,1024,0.00216128688847975,1.0000193449085175,2.321545470319705,3.3281108891448583,0.7638655054499621,0.46430909406394105,0.45798359584688414,0.5195405076233839
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=2,1,20,5,10.0,10,2,2.0,64,1024,0.0025518399001513642,1.0000131991734047,2.5372195348519835,2.8817651037537866,0.9936499344446578,0.5074439069703967,0.4937479897262132,0.5175299814536013
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=2,2,20,5,10.0,10,2,2.0,64,1024,0.0019233605618757064,0.9991389874599583,1.5288952095761335,2.823814912886598,0.5949532777260245,0.30577904191522676,0.28221754977664837,0.5100291996962325
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=10,0,20,5,10.0,10,10,2.0,64,1024,0.0018985631787195,1.0000193449085175,2.645695980134549,3.443098724171547,0.9615161421214562,0.5291391960269097,0.5101448747623454,0.6145464546010913
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=10,1,20,5,10.0,10,10,2.0,64,1024,0.001990447763343257,1.0000131991734047,2.472342967651999,3.78577836677549,0.8036629612649993,0.4944685935303997,0.48125140067612043,0.5947022519437403
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=10,2,20,5,10.0,10,10,2.0,64,1024,0.0017346770743091498,0.9991389874599583,1.9859412616173906,3.731532211369166,0.6172218936499639,0.3971882523234781,0.3687941257550675,0.6211951730151355
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+02 input_mult=2,0,20,5,100.0,10,2,2.0,64,1024,0.0017886103141164366,1.0001842700679446,1.6695404556631097,3.3281108891448583,0.5540442672114303,0.333908091132622,0.32716011420940255,0.3349539378810616
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+02 input_mult=2,1,20,5,100.0,10,2,2.0,64,1024,0.0020315374310335413,1.0000372550133065,1.9385923966403795,2.8817651037537866,0.760770931381016,0.3877184793280758,0.3402692005134401,0.39404966803278074
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+02 input_mult=2,2,20,5,100.0,10,2,2.0,64,1024,0.0015145499353213393,0.9989758456424742,1.1989704736187974,2.823814912886598,0.4752552629522159,0.2397940947237595,0.22798139020439737,0.34467267248317374
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+02 input_mult=10,0,20,5,100.0,10,10,2.0,64,1024,0.0014573575439392555,1.0001842700679446,1.9008934667334885,3.443098724171547,0.6994555362361466,0.3801786933466976,0.36948151631289433,0.38705751692627893
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+02 input_mult=10,1,20,5,100.0,10,10,2.0,64,1024,0.0015406941577810823,1.0000372550133065,2.059374767243221,3.78577836677549,0.6808110039068237,0.4118749534486442,0.36053529940221507,0.4180051902047852
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+02 input_mult=10,2,20,5,100.0,10,10,2.0,64,1024,0.0012961507622812115,0.9989758456424742,1.3968377217923742,3.731532211369166,0.4416334534271823,0.27936754435847483,0.2675426268075463,0.38092547812748656
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=2,0,20,10,1.0,2,2,2.0,64,1024,0.011408092888141113,1.0000117522685383,7.057411382898255,5.853156935917507,1.33463604969299,0.7057411382898255,0.6493726384621425,0.7621096381175085
