scan,claim_boundary,source_id,family,setting_id,setting_values,metric_id,metric_role,estimate,ci95_low,ci95_high,boundary_status,interpretation
secondary_outcome,secondary_outcome_tradeoff,digits_class_partition_sweep,sklearn_digits_mlp,"digits_class_partition_sweep::partition_name=mixed_c;head_classes=0,2,3,5,9;tail_classes=1,4,6,7,8","partition_name=mixed_c;head_classes=0,2,3,5,9;tail_classes=1,4,6,7,8",tail_margin_drop,secondary_tail_margin_tradeoff,0.0042250896362459,0.0028839216572495,0.0055662576152422,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_class_partition_sweep,sklearn_digits_mlp,"digits_class_partition_sweep::partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9","partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9",tail_margin_drop,secondary_tail_margin_tradeoff,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_imbalance_ablation,sklearn_digits_mlp,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,tail_loss_increase,secondary_tail_loss_tradeoff,0.0029015009943104,0.00191375241648,0.0038892495721408,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_imbalance_ablation,sklearn_digits_mlp,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=20;imbalance_ratio=5,head_train_per_class=100;tail_train_per_class=20;imbalance_ratio=5,tail_loss_increase,secondary_tail_loss_tradeoff,0.0014419617947058,0.0004006618028099,0.0024832617866016,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_imbalance_ablation,sklearn_digits_mlp,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=40;imbalance_ratio=2.5,head_train_per_class=100;tail_train_per_class=40;imbalance_ratio=2.5,tail_loss_increase,secondary_tail_loss_tradeoff,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_imbalance_ablation,sklearn_digits_mlp,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,tail_margin_drop,secondary_tail_margin_tradeoff,0.0031556958425039,0.0017396515686,0.0045717401164079,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_imbalance_ablation,sklearn_digits_mlp,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=40;imbalance_ratio=2.5,head_train_per_class=100;tail_train_per_class=40;imbalance_ratio=2.5,tail_margin_drop,secondary_tail_margin_tradeoff,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_imbalance_ablation,sklearn_digits_mlp,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=20;imbalance_ratio=5,head_train_per_class=100;tail_train_per_class=20;imbalance_ratio=5,tail_margin_drop,secondary_tail_margin_tradeoff,0.0018302929086303,0.0003777656832092,0.0032828201340513,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_one_step,sklearn_digits_mlp,digits_one_step::pooled,pooled,tail_loss_increase,secondary_tail_loss_tradeoff,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_one_step,sklearn_digits_mlp,digits_one_step::pooled,pooled,tail_margin_drop,secondary_tail_margin_tradeoff,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.08,target_head_gain_fraction=0.08,tail_loss_increase,secondary_tail_loss_tradeoff,0.004871517275682,0.0002640498789113,0.0094789846724526,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.04,target_head_gain_fraction=0.04,tail_loss_increase,secondary_tail_loss_tradeoff,0.0026785340377436,0.0003630431594085,0.0049940249160788,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.02,target_head_gain_fraction=0.02,tail_loss_increase,secondary_tail_loss_tradeoff,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.01,target_head_gain_fraction=0.01,tail_loss_increase,secondary_tail_loss_tradeoff,0.0007140500840372,0.0001329142793213,0.0012951858887531,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.005,target_head_gain_fraction=0.005,tail_loss_increase,secondary_tail_loss_tradeoff,0.000360710876454,6.994126794794049e-05,0.00065148048496,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.04,target_head_gain_fraction=0.04,tail_margin_drop,secondary_tail_margin_tradeoff,0.0036084242892853,9.459993747763188e-06,0.0072073885848228,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.02,target_head_gain_fraction=0.02,tail_margin_drop,secondary_tail_margin_tradeoff,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.01,target_head_gain_fraction=0.01,tail_margin_drop,secondary_tail_margin_tradeoff,0.0009591778467878,6.101941486593473e-05,0.0018573362787096,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_rho_sweep,sklearn_digits_mlp,digits_rho_sweep::target_head_gain_fraction=0.005,target_head_gain_fraction=0.005,tail_margin_drop,secondary_tail_margin_tradeoff,0.0004883644350459,4.011983840484568e-05,0.000936609031687,spectral_worse,diff_ci_strictly_above_zero
