source_id,family,natural_task,source_path,row_index,setting_id,setting_axes,setting_values,metric_id,metric_role,estimate_column,mean_diff_spectral_minus_fro,ci95_low,ci95_high,boundary_status,interpretation,positive_means,claim_boundary
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,0,"digits_class_partition_sweep::partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9","partition_name,head_classes,tail_classes","partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9",tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,0,"digits_class_partition_sweep::partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9","partition_name,head_classes,tail_classes","partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9",tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,1,"digits_class_partition_sweep::partition_name=even_vs_odd;head_classes=0,2,4,6,8;tail_classes=1,3,5,7,9","partition_name,head_classes,tail_classes","partition_name=even_vs_odd;head_classes=0,2,4,6,8;tail_classes=1,3,5,7,9",tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,-0.0007971179900145,-0.0015459546352305,-4.828134479857539e-05,spectral_better,diff_ci_strictly_below_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,1,"digits_class_partition_sweep::partition_name=even_vs_odd;head_classes=0,2,4,6,8;tail_classes=1,3,5,7,9","partition_name,head_classes,tail_classes","partition_name=even_vs_odd;head_classes=0,2,4,6,8;tail_classes=1,3,5,7,9",tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,-0.0015958568884143,-0.0027596445203503,-0.0004320692564783,spectral_better,diff_ci_strictly_below_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,1,"digits_class_partition_sweep::partition_name=even_vs_odd;head_classes=0,2,4,6,8;tail_classes=1,3,5,7,9","partition_name,head_classes,tail_classes","partition_name=even_vs_odd;head_classes=0,2,4,6,8;tail_classes=1,3,5,7,9",tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.00025,-0.00024,0.00074,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,2,"digits_class_partition_sweep::partition_name=mixed_a;head_classes=0,1,5,6,7;tail_classes=2,3,4,8,9","partition_name,head_classes,tail_classes","partition_name=mixed_a;head_classes=0,1,5,6,7;tail_classes=2,3,4,8,9",tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,3.1557107460500333e-06,-0.0005576759857144,0.0005639874072065,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,2,"digits_class_partition_sweep::partition_name=mixed_a;head_classes=0,1,5,6,7;tail_classes=2,3,4,8,9","partition_name,head_classes,tail_classes","partition_name=mixed_a;head_classes=0,1,5,6,7;tail_classes=2,3,4,8,9",tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,-0.0001334659950182,-0.0010400627486317,0.0007731307585952,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,2,"digits_class_partition_sweep::partition_name=mixed_a;head_classes=0,1,5,6,7;tail_classes=2,3,4,8,9","partition_name,head_classes,tail_classes","partition_name=mixed_a;head_classes=0,1,5,6,7;tail_classes=2,3,4,8,9",tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,3,"digits_class_partition_sweep::partition_name=mixed_b;head_classes=0,3,4,7,9;tail_classes=1,2,5,6,8","partition_name,head_classes,tail_classes","partition_name=mixed_b;head_classes=0,3,4,7,9;tail_classes=1,2,5,6,8",tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0007635064611542,0.0002565065542828,0.0012705063680256,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,3,"digits_class_partition_sweep::partition_name=mixed_b;head_classes=0,3,4,7,9;tail_classes=1,2,5,6,8","partition_name,head_classes,tail_classes","partition_name=mixed_b;head_classes=0,3,4,7,9;tail_classes=1,2,5,6,8",tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.0001787721557489,-0.0005078829339238,0.0008654272454217,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
