problem_family,base_setting,seed,source_algo,checkpoint_step,remaining_steps,continuation_variant,continuation_algo,loaded_source_optimizer_state,loss_before,loss_after,total_decrease,recovery_before,recovery_after
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,0,5,own_preserved,Muon,True,0.012595069754438687,0.0018232412383812028,0.010771828516057484,1.1531162994796222,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,0,5,own_fresh,Muon,False,0.012595069754438687,0.0018232412383812028,0.010771828516057484,1.1531162994796222,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,0,5,switched_fresh,Adam,False,0.012595069754438687,0.0023680611365872245,0.010227008617851464,1.1531162994796222,1.1692985290849374
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,1,4,own_preserved,Muon,True,0.009440728451388599,0.0018232412383812028,0.0076174872130073965,1.140501555079468,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,1,4,own_fresh,Muon,False,0.009440728451388599,0.0018232412383812028,0.0076174872130073965,1.140501555079468,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,1,4,switched_fresh,Adam,False,0.009440728451388599,0.002728790353584608,0.006711938097803991,1.140501555079468,1.1825588867540724
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,3,2,own_preserved,Muon,True,0.004715298709383537,0.0018232412383812028,0.0028920574710023343,1.128201249654941,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,3,2,own_fresh,Muon,False,0.004715298709383537,0.0018232412383812028,0.0028920574710023343,1.128201249654941,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Muon,3,2,switched_fresh,Adam,False,0.004715298709383537,0.003526918238813434,0.001188380470570103,1.128201249654941,1.1884996604680513
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,0,5,own_preserved,Adam,True,0.012757591945778827,0.002635786231333939,0.010121805714444888,1.17359807729054,1.2009444307474586
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,0,5,own_fresh,Adam,False,0.012757591945778827,0.002635786231333939,0.010121805714444888,1.17359807729054,1.2009444307474586
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,0,5,switched_fresh,Muon,False,0.012757591945778827,0.0018982819647289503,0.010859309981049878,1.17359807729054,1.154853930499572
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,1,4,own_preserved,Adam,True,0.0028797488263400894,0.002635786231333939,0.00024396259500615016,1.148722510693494,1.2009444307474586
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,1,4,own_fresh,Adam,False,0.0028797488263400894,0.0031717934652625095,-0.00029204463892242016,1.148722510693494,1.200391454178447
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,1,4,switched_fresh,Muon,False,0.0028797488263400894,4.2844299892411134e-05,0.0028369045264476783,1.148722510693494,1.1328697423652871
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,3,2,own_preserved,Adam,True,0.005056093402762189,0.002635786231333939,0.00242030717142825,1.2279832200533352,1.2009444307474586
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,3,2,own_fresh,Adam,False,0.005056093402762189,0.004080514968517458,0.0009755784342447317,1.2279832200533352,1.2013672124355617
MatrixSensing,Matrix sensing kappa=1e+02,1,Adam,3,2,switched_fresh,Muon,False,0.005056093402762189,0.0018688105124294962,0.003187282890332693,1.2279832200533352,1.189567982168107
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,0,5,own_preserved,Muon,True,0.012757591945778827,0.0018982819647289503,0.010859309981049878,1.17359807729054,1.154853930499572
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,0,5,own_fresh,Muon,False,0.012757591945778827,0.0018982819647289503,0.010859309981049878,1.17359807729054,1.154853930499572
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,0,5,switched_fresh,Adam,False,0.012757591945778827,0.002635786231333939,0.010121805714444888,1.17359807729054,1.2009444307474586
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,1,4,own_preserved,Muon,True,0.00958917469011533,0.0018982819647289503,0.00769089272538638,1.1620544632183858,1.154853930499572
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,1,4,own_fresh,Muon,False,0.00958917469011533,0.0018982819647289503,0.00769089272538638,1.1620544632183858,1.154853930499572
