group_type,problem_family,base_setting,source_algo,comparison,metric,n_pairs,numerator_better_pairs,mean_signed_ratio,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_ratio,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta,delta_ci95_low,delta_ci95_high
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Adam,switched_fresh_over_own_fresh,total_decrease,15,15,3.4637072555106045,2.5308382994761605,4.396576211545049,2.8444728677715196,1.9158365574243672,4.223233899642166,15,0.0022482161442326514,0.0016846843846511548,0.002811747903814148
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Adam,switched_fresh_over_own_fresh,loss_after,15,15,0.3461607960650784,0.21375973945158921,0.47856185267856755,0.14562605440138093,0.05317468961933614,0.3988165774418058,15,-0.0022482161442326514,-0.002811747903814148,-0.0016846843846511548
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Adam,switched_fresh_over_own_fresh,recovery_after,15,15,0.9639482375395684,0.9560670899436188,0.971829385135518,0.9638306075233155,0.9552336114569219,0.9725049755963882,15,-0.0432562463772234,-0.05270710560498479,-0.033805387149462005
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Adam,own_fresh_over_own_preserved,total_decrease,15,0,0.045686206205318554,-0.4208897847719737,0.5122621971826108,0.5069951048573468,0.3023679556441594,0.8501034304435797,10,-0.0010274877264895763,-0.0014310873963138662,-0.0006238880566652864
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Adam,own_fresh_over_own_preserved,loss_after,15,0,1.4583341914568217,1.2765427503596463,1.6401256325539972,1.4135638949279068,1.2208870456305685,1.6366484452390397,15,0.0010274877264895763,0.0006238880566652864,0.0014310873963138662
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Adam,own_fresh_over_own_preserved,recovery_after,15,1,1.0069845942121918,1.0027956399851505,1.011173548439233,1.0069529588143125,1.002392168182962,1.011534500616555,15,0.008293379967197501,0.00333973432802016,0.013247025606374842
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Muon,switched_fresh_over_own_fresh,total_decrease,15,0,0.6894143180956239,0.5477946933675337,0.8310339428237141,0.6181651614461754,0.462099737695028,0.8269387226485924,15,-0.0012524826138337534,-0.001461162617059975,-0.001043802610607532
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Muon,switched_fresh_over_own_fresh,loss_after,15,0,1.8990520827035964,1.7414453420732878,2.0566588233339047,1.8764911516110527,1.7191492096425192,2.0482335229103112,15,0.0012524826138337534,0.001043802610607532,0.001461162617059975
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Muon,switched_fresh_over_own_fresh,recovery_after,15,0,1.0437400120913176,1.0384784808321177,1.0490015433505175,1.043691672999746,1.037949289936258,1.049465825402611,15,0.050493678158431164,0.04431540931811398,0.05667194699874835
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Muon,own_fresh_over_own_preserved,total_decrease,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
