group_type,problem_family,setting,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,mean_delta_loss,5,0.8029045337403673,0.7985985077392783,0.8072337777411676,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,mean_update_grad_inner,5,0.802010016640241,0.7976950098862494,0.8063483647503349,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,mean_update_grad_cosine,5,0.796592287400993,0.7920968471681132,0.8011132409065989,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,mean_nrUpdate,5,1.0389902818120325,1.0295894384292457,1.0484769612115934,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,mean_stUpdate,5,1.4812412346457136,1.3499363138124671,1.6253178559352086,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,final_loss,5,0.996131486653248,0.9956619719049232,0.9966012228061308,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,total_decrease,5,1.034597277821871,1.0305531634147551,1.0386572622121362,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,mean_delta_loss,5,1.034597277821871,1.0305531634147551,1.0386572622121362,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,mean_update_grad_inner,5,1.0348211584204252,1.0307211979092623,1.0389374275863699,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,mean_update_grad_cosine,5,1.0361685300077903,1.0315942651702903,1.0407630779153985,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,mean_nrUpdate,5,1.408941296998314,1.4002427341773254,1.4176938968753812,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/FreshAdamSign,mean_stUpdate,5,5.414339491664899,4.939938341122476,5.934299197010019,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,final_loss,5,1.0242415081750122,1.0230884414720995,1.0253958744359766,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,total_decrease,5,0.8306828449586227,0.8263426479533799,0.8350458379675462,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,mean_delta_loss,5,0.8306828449586227,0.8263426479533799,0.8350458379675462,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,mean_update_grad_inner,5,0.8299369344844386,0.8255279078083819,0.8343695091423942,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,mean_update_grad_cosine,5,0.82540385945183,0.8207808287594209,0.8300529292670282,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,mean_nrUpdate,5,1.4638763152248886,1.4475732768912526,1.4803629636480107,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,PolarMuon/GD,mean_stUpdate,5,8.019942913424758,7.554019312094263,8.51460416994356,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,final_loss,5,1.0297225923179893,1.0284124454698036,1.0310344082287886,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,total_decrease,5,0.8025540749389959,0.7985671878129579,0.8065608668009138,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,mean_delta_loss,5,0.8025540749389958,0.7985671878129579,0.8065608668009137,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,mean_update_grad_inner,5,0.8016217905760494,0.7975995926094371,0.8056642719989631,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,mean_update_grad_cosine,5,0.7958690815223193,0.7914711304202366,0.8002914706274483,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,mean_nrUpdate,5,1.0336489786197327,1.0266725722293535,1.0406727908213125,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,FreshAdamSign/GD,mean_stUpdate,5,1.4827100389125558,1.3421758008138003,1.6379590945978175,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,final_loss,5,0.9960417242420412,0.9953850120819391,0.9966988696725423,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,total_decrease,5,1.0337009512722062,1.0285346566498386,1.0388931960168692,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,mean_delta_loss,5,1.0337009512722062,1.0285346566498388,1.0388931960168692,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,mean_update_grad_inner,5,1.0339411138396424,1.0287386043817397,1.0391699332897475,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,mean_update_grad_cosine,5,1.035482510238747,1.029904993967887,1.0410902319051862,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,mean_nrUpdate,5,1.4204659114470803,1.4121056662008986,1.428875652777195,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/FreshAdamSign,mean_stUpdate,5,5.694404500111595,5.176449623667196,6.264185874162761,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,final_loss,5,1.0256466663433945,1.0248867525723417,1.0264071435610311,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,total_decrease,5,0.8296009107118255,0.8279150818164887,0.8312901723493925,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,mean_delta_loss,5,0.8296009107118254,0.8279150818164885,0.8312901723493925,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,mean_update_grad_inner,5,0.8288297270263292,0.8271031049617772,0.8305599535069882,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,mean_update_grad_cosine,5,0.8241085143561371,0.8221120055074524,0.8261098717504654,False,True,0.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,mean_nrUpdate,5,1.4682631385314227,1.4611234687000803,1.4754376958218964,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+05,PolarMuon/GD,mean_stUpdate,5,8.443150717944294,7.905431466748673,9.01744507504306,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,final_loss,5,1.0000842075344982,1.000064610898651,1.0001038045543487,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,total_decrease,5,0.6403865695185729,0.556132288637429,0.7374054101849277,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,mean_delta_loss,5,0.628769701290865,0.5897221912932183,0.6704026795980436,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,mean_update_grad_inner,5,0.6307374020902844,0.5923364244899559,0.6716279025693226,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,mean_update_grad_cosine,5,0.6349976032326898,0.593082020784318,0.6798755348847397,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,mean_nrUpdate,5,1.6425405552250034,1.5732078352359113,1.7149288321172715,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,FreshAdamSign/GD,mean_stUpdate,5,1.5987327718148134,1.5472600306796673,1.6519178580163554,True,False,1.0
