run_id,problem_family,setting,kappa,seed,candidate,steps,target_relative_update_norm,initial_loss,final_loss,total_decrease,final_recovery_error,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine,mean_nrUpdate,mean_stUpdate
40,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,3,FreshAdamSign,10,0.001,0.00014695216996577507,0.00014593617696029344,1.0159930054816238e-06,0.996283189899963,1.0159930054816239e-07,9.747722412628766e-08,0.5192991978095494,1.6429244085699994,1.0736859135811905
41,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,3,PolarMuon,10,0.001,0.00014695216996577507,0.00014662752032898176,3.2464963679331273e-07,0.9986400630313121,3.2464963679331274e-08,3.224758733030867e-08,0.1948201953450167,5.0,4.999999999999597
42,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,4,GD,10,0.001,0.0001337588217194671,0.00013203249298279597,1.726328736671121e-06,0.9956324388986492,1.726328736671121e-07,1.710628809647684e-07,0.9999999999999998,1.1198148605905398,1.0013945777426196
43,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,4,FreshAdamSign,10,0.001,0.0001337588217194671,0.00013285348455203922,9.053371674278671e-07,0.9982264541998027,9.053371674278671e-08,8.956896682803377e-08,0.5630477360594335,1.5793814596068143,1.041883490763395
44,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,4,PolarMuon,10,0.001,0.0001337588217194671,0.00013342748581587907,3.313359035880196e-07,1.0001968506563936,3.313359035880196e-08,3.3334563704241705e-08,0.20867220226379848,5.0,4.999999999999706
45,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,0,GD,5,0.01,0.011350617945307562,0.00985121994201262,0.0014993980032949415,1.1592789920335878,0.0002998796006589883,0.00030227516512995416,1.0000000000000004,41.02777565476912,6.936953864603359
46,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,0,FreshAdamSign,5,0.01,0.011350617945307562,0.010149067767399914,0.0012015501779076478,1.1623365209817067,0.00024031003558152957,0.00024193899153909923,0.7945540973023097,42.47980733497851,10.57966965259831
47,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,0,PolarMuon,5,0.01,0.011350617945307562,0.01010450263961305,0.0012461153056945121,1.1652495672351513,0.00024922306113890245,0.0002509853520176619,0.825841907489351,60.0,59.999999999999815
48,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,1,GD,5,0.01,0.01188808980557376,0.010389448107122699,0.001498641698451061,1.1794132967052255,0.00029972833969021224,0.0003020078720296337,1.0,40.66668600029273,6.974141356739004
49,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,1,FreshAdamSign,5,0.01,0.01188808980557376,0.010682383931075186,0.0012057058744985739,1.1823492727978184,0.00024114117489971477,0.00024271186325903736,0.7979431359017312,42.11376514827277,10.587583822019337
50,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,1,PolarMuon,5,0.01,0.01188808980557376,0.01064745396253436,0.001240635843039399,1.185455535106633,0.00024812716860787983,0.0002497746049942637,0.8221785437320694,60.0,59.99999999999981
51,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,2,GD,5,0.01,0.01113613682871832,0.009634767688783127,0.0015013691399351926,1.1539098441031783,0.0003002738279870385,0.00030269985107994385,1.0,40.86813230330788,7.760373785639787
52,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,2,FreshAdamSign,5,0.01,0.01113613682871832,0.009931961934698776,0.001204174894019543,1.156563993959072,0.0002408349788039086,0.00024248829870247455,0.7952651495797758,42.02428970192166,11.428087395688369
53,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,2,PolarMuon,5,0.01,0.01113613682871832,0.00989054569859766,0.0012455911301206598,1.1595177418336868,0.00024911822602413197,0.00025090007364567395,0.8241496044863867,60.00000000000002,59.999999999999815
54,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,3,GD,5,0.01,0.011482184353307785,0.009978991443377449,0.0015031929099303364,1.1348384054163032,0.0003006385819860673,0.0003030022445612142,0.9999999999999993,41.01607495465606,7.142648828535066
55,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,3,FreshAdamSign,5,0.01,0.011482184353307785,0.010269619409929293,0.0012125649433784927,1.136981466233717,0.00024251298867569853,0.000244144673548348,0.8005006777553867,42.15652086914771,9.295162463064033
56,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,3,PolarMuon,5,0.01,0.011482184353307785,0.010233413050750697,0.001248771302557088,1.1405536190401484,0.0002497542605114176,0.00025150132190406954,0.8255350026374982,59.999999999999986,59.99999999999985
57,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,4,GD,5,0.01,0.011431779149861414,0.009943047385979653,0.0014887317638817617,1.1594655150778288,0.00029774635277635234,0.0003000938953904872,1.0000000000000004,40.74563870293001,6.758215751816493
58,MatrixSensing,Matrix sensing kappa=1e+05,100000.0,4,FreshAdamSign,5,0.01,0.011431779149861414,0.01024347653100209,0.0011883026188593254,1.1626933849980656,0.00023766052377186507,0.00023924815888428595,0.791114048189184,42.425837042895004,10.914784761407628
