problem_family,setting,kappa,seed,comparison,final_loss_ratio,final_loss_delta,total_decrease_ratio,total_decrease_delta,mean_delta_loss_ratio,mean_delta_loss_delta,mean_update_grad_inner_ratio,mean_update_grad_inner_delta,mean_update_grad_cosine_ratio,mean_update_grad_cosine_delta,mean_nrUpdate_ratio,mean_nrUpdate_delta,mean_stUpdate_ratio,mean_stUpdate_delta
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,1,PolarMuon/FreshAdamSign,1.0048131119479222,6.908230905755368e-07,0.33729868110599026,-6.908230905755368e-07,0.33729868110599026,-6.908230905755368e-08,0.3462400070684309,-6.601836506857051e-08,0.38871076716222597,-0.3144525005750946,2.990715347201646,3.3281591794824594,4.634211438622875,3.9210677876434414
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,2,PolarMuon/GD,1.0101602929521873,1.3700965670997438e-06,0.17492402584660321,-1.3700965670997438e-06,0.17492402584660321,-1.370096567099744e-07,0.17757263259097342,-1.3372615003661496e-07,0.20142612369576662,-0.7985738763042332,4.640776832343547,3.922594173209779,4.9964774457839445,3.999294992471018
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,2,FreshAdamSign/GD,1.0058928357688406,7.946379199266058e-07,0.5214668282320114,-7.946379199266058e-07,0.5214668282320114,-7.946379199266058e-08,0.5170710372472465,-7.852393231216877e-08,0.5169383452984694,-0.4830616547015305,1.537895021469423,0.579531230332607,1.0523592173639553,0.0523961310063874
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,2,PolarMuon/FreshAdamSign,1.0042424570805148,5.75458647173138e-07,0.3354461230825902,-5.75458647173138e-07,0.33544612308259014,-5.754586471731381e-08,0.34342018755551373,-5.520221772444619e-08,0.38965212298087,-0.3155122216027027,3.017616136054197,3.3430629428771725,4.747882057135941,3.9468988614646303
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,3,PolarMuon/GD,1.010733760037018,1.557150537819798e-06,0.17252078152243724,-1.557150537819798e-06,0.17252078152243724,-1.557150537819798e-07,0.1747663292705556,-1.5227072042899783e-07,0.1948201953450167,-0.8051798046549833,4.440337077458277,3.8739593610172305,4.992430487460865,3.9984838021160725
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,3,FreshAdamSign/GD,1.0059681875105018,8.658071691314869e-07,0.5399048311229471,-8.658071691314869e-07,0.5399048311229471,-8.658071691314869e-08,0.5282794174193332,-8.704108363301884e-08,0.5192991978095494,-0.48070080219045064,1.4590276333669157,0.5168837695872301,1.072060457784088,0.07216971569766595
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,3,PolarMuon/FreshAdamSign,1.0047372994351935,6.913433686883111e-07,0.31953924391380534,-6.913433686883111e-07,0.31953924391380534,-6.913433686883112e-08,0.3308217649748619,-6.522963679597899e-08,0.3751598234058242,-0.32447900246453265,3.043353652741697,3.3570755914300006,4.656855358493538,3.9263140864184063
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,4,PolarMuon/GD,1.0105655267242803,1.3949928330831015e-06,0.19193094371291905,-1.3949928330831015e-06,0.19193094371291905,-1.3949928330831014e-07,0.19486731146020622,-1.377283172605267e-07,0.20867220226379854,-0.7913277977362013,4.465023796311495,3.88018513940946,4.993036821979693,3.9986054222570866
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,4,FreshAdamSign/GD,1.0062181024586896,8.20991569243254e-07,0.5244291821114143,-8.20991569243254e-07,0.5244291821114142,-8.20991569243254e-08,0.5236025859197422,-8.149391413673463e-08,0.5630477360594336,-0.4369522639405663,1.4103951601195217,0.4595665990162745,1.0404325267189352,0.040488913020775286
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,4,PolarMuon/FreshAdamSign,1.0043205585896018,5.740012638398475e-07,0.3659806705267282,-5.740012638398475e-07,0.36598067052672817,-5.740012638398475e-08,0.37216644206962624,-5.6234403123792064e-08,0.3706119195580457,-0.354375533795635,3.165796311959206,3.4206185403931855,4.7990010824878055,3.9581165092363113
