mode,run_id,problem_family,base_setting,setting,kappa,lr,algo,seed,final_step,final_loss,final_recovery_error,initial_loss,initial_recovery_error,total_loss_decrease,relative_loss_decrease
equal_update,299,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Muon,4,10,2.203377172058855,0.390625,2.3027054241295115,0.9755859375,0.09932825207065665,0.04313545754911555
equal_update,350,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Adam,0,10,1.865432213737682,0.341796875,2.3026985408830147,0.953125,0.43726632714533276,0.1898929970128241
equal_update,352,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Adam,1,10,1.8188217649587053,0.2568359375,2.3028649017923835,0.927734375,0.48404313683367817,0.21019172095459618
equal_update,354,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Adam,2,10,1.8288458509988734,0.4072265625,2.302544621857513,0.87890625,0.47369877085863976,0.20572837823073178
equal_update,356,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Adam,3,10,1.8421320992814005,0.5009765625,2.30239590189129,0.869140625,0.4602638026098893,0.19990645493757536
equal_update,358,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Adam,4,10,1.8381122658242068,0.44921875,2.302424395280005,0.8681640625,0.46431212945579814,0.2016622697395159
equal_update,351,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Muon,0,10,2.1946120490367758,0.123046875,2.3026985408830147,0.953125,0.10808649184623897,0.04693905429965275
equal_update,353,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Muon,1,10,2.189521347008012,0.126953125,2.3028649017923835,0.927734375,0.1133435547843713,0.0492184993987936
equal_update,355,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Muon,2,10,2.192254865681193,0.1875,2.302544621857513,0.87890625,0.11028975617632009,0.04789907441070433
equal_update,357,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Muon,3,10,2.1840766646328174,0.2490234375,2.30239590189129,0.869140625,0.11831923725847249,0.05138961425412538
equal_update,359,SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 lr=3e-02,1.0,0.03,Muon,4,10,2.1862310113151726,0.3330078125,2.302424395280005,0.8681640625,0.11619338396483236,0.05046566749511083
raw,100,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,0,10,9.85261517360939e-06,0.24992754505453663,0.0001532792239327137,0.9994330499176829,0.0001434266087591043,0.9357211308824575
raw,101,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,1,10,9.447499710687901e-06,0.24919711639755968,0.0001604720091443568,0.9995233235792307,0.0001510245094336689,0.9411268060949547
raw,102,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,2,10,1.2587667097988056e-05,0.3053207376547403,0.0001493490238905777,0.9992393357981618,0.00013676135679258964,0.9157164421294741
raw,83,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-02,100.0,0.01,Adam,3,10,1.9246026019251368e-05,0.36488949005589755,0.00016144123210250178,1.0001224102346165,0.00014219520608325042,0.8807861797844077
raw,104,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,4,10,9.156539484175066e-06,0.23951348670174352,0.00014765915682122912,1.001229148681757,0.00013850261733705404,0.9379886782418724
raw,105,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,0,10,1.0478412456011958e-05,0.303071643419895,0.0001532792239327137,0.9994330499176829,0.00014280081147670173,0.9316384035150663
raw,106,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,1,10,1.0276307579690626e-05,0.28045592090962207,0.0001604720091443568,0.9995233235792307,0.0001501957015646662,0.9359619934062999
raw,107,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,2,10,1.1918170333979543e-05,0.30875097396580253,0.0001493490238905777,0.9992393357981618,0.00013743085355659817,0.9201992083810905
raw,108,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,3,10,8.673121302070036e-06,0.2666037245163979,0.00016144123210250178,1.0001224102346165,0.00015276811080043175,0.9462769133441491
raw,109,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,4,10,1.8124192680288948e-05,0.3980932726372495,0.00014765915682122912,1.001229148681757,0.00012953496414094018,0.8772565611881972
raw,220,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,0,10,9.813859934477448e-06,0.27278096351569664,0.00013841039608334963,0.9994568444974121,0.00012859653614887218,0.9290959334545389
raw,221,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,1,10,3.6431907444218063e-06,0.165380409779072,0.00014457183933332286,0.999614054360372,0.00014092864858890105,0.9748001356196201
raw,222,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,2,10,5.250845551566358e-06,0.20032017763500112,0.00013650870631623234,0.9995498732159133,0.00013125786076466597,0.9615347204345898
raw,203,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,3,10,1.0656335520429752e-05,0.2703582412765797,0.00014695216996577507,0.9997008180844602,0.00013629583444534532,0.9274843268873703
raw,224,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,4,10,4.976321249072697e-06,0.18564263095117148,0.0001337588217194671,1.0013801750432936,0.0001287825004703944,0.9627963136554122
raw,225,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,0,10,8.136294936729664e-06,0.28541473251863075,0.00013841039608334963,0.9994568444974121,0.00013027410114661996,0.9412161574060517
raw,226,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,1,10,8.426670994056433e-06,0.27335095507728485,0.00014457183933332286,0.999614054360372,0.00013614516833926644,0.9417129156486139
raw,227,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,2,10,8.72031415202218e-06,0.27906553358750175,0.00013650870631623234,0.9995498732159133,0.00012778839216421017,0.9361189891301077
raw,228,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,3,10,1.0537770725399206e-05,0.313817512661787,0.00014695216996577507,0.9997008180844602,0.00013641439924037585,0.9282911526393013
raw,229,MatrixFactorizationInput,MF input kappa=1e+05,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,4,10,2.1767643902211705e-05,0.4585966541506908,0.0001337588217194671,1.0013801750432936,0.00011199117781725539,0.8372619942192294
raw,70,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Adam,0,5,0.0010730864919446393,1.1185372691231616,0.012595069754438687,1.1531162994796222,0.011521983262494049,0.9148010679681653
raw,71,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Adam,1,5,0.0010851909653452365,1.1380541588004989,0.012757591945778827,1.17359807729054,0.011672400980433591,0.9149376332181326
raw,72,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Adam,2,5,0.001186077324240406,1.1170451352551203,0.012096481701537817,1.145254681706576,0.01091040437729741,0.9019485703773171
raw,73,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Adam,3,5,0.0012288361958725943,1.0960152718775662,0.012269097258227316,1.1338721945050623,0.011040261062354721,0.8998429819236643
raw,74,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Adam,4,5,0.001118901462272894,1.129319456810557,0.012768712634677852,1.1560304324896953,0.011649811172404958,0.9123716310104646
raw,115,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,0,5,0.00044880809983342487,1.1579839167899093,0.012595069754438687,1.1531162994796222,0.012146261654605263,0.9643663664764335
raw,116,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,1,5,0.0005535020397960881,1.1842671524441204,0.012757591945778827,1.17359807729054,0.01220408990598274,0.9566139094157791
raw,117,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,2,5,0.0005838607942200183,1.14915618571876,0.012096481701537817,1.145254681706576,0.011512620907317798,0.9517330072804729
raw,118,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,3,5,0.0005372567661365803,1.1399033251589048,0.012269097258227316,1.1338721945050623,0.011731840492090735,0.9562105707674368
raw,119,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,4,5,0.000555761124686316,1.1680630181098657,0.012768712634677852,1.1560304324896953,0.012212951509991537,0.9564747723136197
raw,190,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-03,100000.0,0.003,Adam,0,5,0.001095797504595026,1.1428384636549793,0.011350617945307562,1.1707003566011327,0.010254820440712535,0.9034592204693104
raw,191,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-03,100000.0,0.003,Adam,1,5,0.001147451180910724,1.1606935346539575,0.01188808980557376,1.1904143411550712,0.010740638624663035,0.9034789272560223
