seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,warmup_steps
0,spectral,layer2.0.conv2.weight,128x128x3x3,53.87779743659061,127.99999995710893,10000
0,spectral,layer2.0.downsample.0.weight,128x64x1x1,21.234052800960058,63.99999999796668,10000
0,spectral,layer2.1.conv1.weight,128x128x3x3,49.71283998770234,127.99999995273855,10000
0,spectral,layer2.1.conv2.weight,128x128x3x3,40.11923692019232,127.99999994608528,10000
0,spectral,layer3.0.conv1.weight,256x128x3x3,52.40746832559959,255.9999999040988,10000
0,spectral,layer3.0.conv2.weight,256x256x3x3,45.12049084632486,255.99999990262353,10000
0,spectral,layer3.0.downsample.0.weight,256x128x1x1,18.298501782439267,127.99999994530704,10000
0,spectral,layer3.1.conv1.weight,256x256x3x3,35.77613767170239,255.999999918116,10000
0,spectral,layer3.1.conv2.weight,256x256x3x3,29.249638377747054,255.99999978263352,10000
0,spectral,layer4.0.conv1.weight,512x256x3x3,31.905126092082593,511.9999995225111,10000
0,spectral,layer4.0.conv2.weight,512x512x3x3,28.12099744133044,511.99999952709175,10000
0,spectral,layer4.0.downsample.0.weight,512x256x1x1,12.024934982135889,255.99999988167187,10000
0,spectral,layer4.1.conv1.weight,512x512x3x3,22.187588702174697,511.9999994665722,10000
0,spectral,layer4.1.conv2.weight,512x512x3x3,27.504280304212454,511.99999949228817,10000
0,spectral,fc.weight,100x512,24.086333274184728,99.99999999594971,10000
1,frobenius,conv1.weight,64x3x3x3,3.8769008421336535,3.8768973979018773,10000
1,frobenius,layer1.0.conv1.weight,64x64x3x3,7.377025397149408,7.377000264684769,10000
1,frobenius,layer1.0.conv2.weight,64x64x3x3,9.34896079615041,9.34902558299287,10000
1,frobenius,layer1.1.conv1.weight,64x64x3x3,6.933849679191715,6.933854490422782,10000
1,frobenius,layer1.1.conv2.weight,64x64x3x3,8.506450477406938,8.506470686768402,10000
1,frobenius,layer2.0.conv1.weight,128x64x3x3,8.512086111611334,8.512126484850508,10000
1,frobenius,layer2.0.conv2.weight,128x128x3x3,10.174426457392682,10.174228454091947,10000
1,frobenius,layer2.0.downsample.0.weight,128x64x1x1,5.501041240196969,5.5010384947541136,10000
1,frobenius,layer2.1.conv1.weight,128x128x3x3,11.012086436299455,11.012106507467053,10000
1,frobenius,layer2.1.conv2.weight,128x128x3x3,9.944199000153395,9.944227596623712,10000
1,frobenius,layer3.0.conv1.weight,256x128x3x3,12.83424173101586,12.834165392135734,10000
1,frobenius,layer3.0.conv2.weight,256x256x3x3,14.830788009629554,14.830873492065216,10000
1,frobenius,layer3.0.downsample.0.weight,256x128x1x1,7.375050072451343,7.375067670248665,10000
1,frobenius,layer3.1.conv1.weight,256x256x3x3,14.9951060676323,14.99505057546762,10000
1,frobenius,layer3.1.conv2.weight,256x256x3x3,11.21458293714351,11.214623117387971,10000
1,frobenius,layer4.0.conv1.weight,512x256x3x3,14.239548683306563,14.241170896365325,10000
1,frobenius,layer4.0.conv2.weight,512x512x3x3,15.89986792026647,15.90010157149983,10000
1,frobenius,layer4.0.downsample.0.weight,512x256x1x1,7.291581824824833,7.2914321965432585,10000
1,frobenius,layer4.1.conv1.weight,512x512x3x3,12.092934896448245,12.093021655296445,10000
1,frobenius,layer4.1.conv2.weight,512x512x3x3,11.78896908045955,11.788943334702731,10000
1,frobenius,fc.weight,100x512,6.676533887920316,6.676496875820417,10000
1,spectral,conv1.weight,64x3x3x3,3.8769008421336535,26.99999999986475,10000
1,spectral,layer1.0.conv1.weight,64x64x3x3,7.377025397149408,63.99999999816924,10000
1,spectral,layer1.0.conv2.weight,64x64x3x3,9.34896079615041,63.99999999775109,10000
1,spectral,layer1.1.conv1.weight,64x64x3x3,6.933849679191715,63.9999999976349,10000
1,spectral,layer1.1.conv2.weight,64x64x3x3,8.506450477406938,63.99999999810737,10000
1,spectral,layer2.0.conv1.weight,128x64x3x3,8.512086111611334,127.99999994371532,10000
1,spectral,layer2.0.conv2.weight,128x128x3x3,10.174426457392682,127.99999994429476,10000
1,spectral,layer2.0.downsample.0.weight,128x64x1x1,5.501041240196969,63.99999999816663,10000
1,spectral,layer2.1.conv1.weight,128x128x3x3,11.012086436299455,127.9999999497025,10000
1,spectral,layer2.1.conv2.weight,128x128x3x3,9.944199000153395,127.9999999464918,10000
1,spectral,layer3.0.conv1.weight,256x128x3x3,12.83424173101586,255.99999989026506,10000
1,spectral,layer3.0.conv2.weight,256x256x3x3,14.830788009629554,255.9999999064205,10000
1,spectral,layer3.0.downsample.0.weight,256x128x1x1,7.375050072451343,127.99999994515068,10000
1,spectral,layer3.1.conv1.weight,256x256x3x3,14.9951060676323,255.99999989544864,10000
1,spectral,layer3.1.conv2.weight,256x256x3x3,11.21458293714351,255.99999990029016,10000
1,spectral,layer4.0.conv1.weight,512x256x3x3,14.239548683306563,511.99999949197434,10000
1,spectral,layer4.0.conv2.weight,512x512x3x3,15.89986792026647,511.9999995019656,10000
1,spectral,layer4.0.downsample.0.weight,512x256x1x1,7.291581824824833,255.99999988099287,10000
1,spectral,layer4.1.conv1.weight,512x512x3x3,12.092934896448245,511.999999510644,10000
