seed,geometry,dataset,model,updated_parameter_subset,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
0,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.08196629583835602,0.08155767619609833,0.00040861964225769043,0.002956915209342897,0.0004098314791917801,4.3389997482299805,4.339852333068848,0.0008525848388671875,0.075,0.075,0.0,-3.1962857246398926,-3.1973342895507812,0.0010485649108886719,0.075,0.9800000000000001,0.001,0.0,0.9356339573860168,0.002092141192406416,0.9356339573860168,0.05354524403810501,0.13706426322460175,0.14983855187892914,0.0033504918683320284,,,,0.0013019401812925935,0.001023818040266633,0.0013019403097978242,0.3147851526737213,11.731389904299471,1.7617637407736675,6.658889403154423,11.73138890491108,cuda,float32
0,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.08196629583835602,0.0815574899315834,0.0004088059067726135,0.0025024247068309276,0.0004098314791917801,4.3389997482299805,4.340478420257568,0.0014786720275878906,0.075,0.075,0.0,-3.1962857246398926,-3.1982579231262207,0.001972198486328125,0.075,1.0,0.001,0.0,0.46540507674217224,0.0010406773071736097,0.46535298228263855,0.05682183802127838,0.12536835670471191,0.1540921926498413,0.0034456062130630016,,,,0.003801187966018915,0.00038012632285244763,0.0003801165238320003,1.078173279762268,11.731389904299471,1.7617637407736675,6.658889403154423,99.99999999370979,cuda,float32
1,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.10960645973682404,0.10905992984771729,0.0005465298891067505,0.002741461736793961,0.0005480322986841202,4.246177673339844,4.2468366622924805,0.0006589889526367188,0.0725,0.0725,0.0,-3.02968168258667,-3.030395746231079,0.0007140636444091797,0.0725,0.9655172413793103,0.0005,0.0,0.9757890701293945,0.002181930700317025,0.9757890701293945,0.04105321690440178,0.12552829086780548,0.13104934990406036,0.0029303524643182755,,,,0.0012768785236403346,0.001057473011314869,0.0012768783512227234,0.42919695377349854,10.593608603799595,1.7328901570772413,6.113260301314874,10.593609703953668,cuda,float32
1,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.10960645973682404,0.10905972868204117,0.0005467310547828674,0.0023743927217013067,0.0005480322986841202,4.246177673339844,4.247416019439697,0.0012383460998535156,0.0725,0.07200000000000001,0.0004999999999999866,-3.02968168258667,-3.0313210487365723,0.0016393661499023438,0.0725,0.993103448275862,0.001,0.006896551724137931,0.47397077083587646,0.0010598308872431517,0.47391679883003235,0.05419660732150078,0.1193271055817604,0.14426937699317932,0.003225961234420538,,,,0.003923104144632816,0.0003923184412997216,0.0003923075460883025,1.396945595741272,10.593608603799595,1.7328901570772413,6.113260301314874,99.9999999948156,cuda,float32
2,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.07360552996397018,0.07323884963989258,0.0003666803240776062,0.0036609361902678462,0.0003680276498198509,4.535890579223633,4.536406517028809,0.0005159378051757812,0.0575,0.0575,0.0,-3.3955724239349365,-3.396117925643921,0.000545501708984375,0.0575,0.991304347826087,0.0015,0.0,0.9008957147598267,0.0020144640002399683,0.9008957147598267,0.044049400836229324,0.14409680664539337,0.14930599927902222,0.0033385835122317076,,,,0.0012043399037793279,0.000948530447203666,0.001204339963613188,0.30558452010154724,14.008947491895537,1.7275844401496014,8.108979894888623,14.009016795238756,cuda,float32
2,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.07360552996397018,0.07323848456144333,0.00036704540252685547,0.0026689497201535135,0.0003680276498198509,4.535890579223633,4.536778450012207,0.0008878707885742188,0.0575,0.0575,0.0,-3.3955724239349365,-3.3967010974884033,0.0011286735534667969,0.0575,0.991304347826087,0.0015,0.0,0.3960960805416107,0.0008856977219693363,0.3960409462451935,0.04241510108113289,0.10541947931051254,0.12329291552305222,0.002756913425400853,,,,0.003217721823602915,0.0003217784105800092,0.0003217700048902742,1.1437599658966064,14.008947491895537,1.7275844401496014,8.108979894888623,99.99999999601577,cuda,float32
3,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.08379334211349487,0.08337526023387909,0.0004180818796157837,0.0021119361738602556,0.0004189667105674744,4.490720748901367,4.491586208343506,0.0008654594421386719,0.0495,0.0495,0.0,-3.3747007846832275,-3.3758327960968018,0.0011320114135742188,0.0495,0.98989898989899,0.0,0.0,0.8936259150505066,0.0019982082303613424,0.8936259150505066,0.035773053765296936,0.13725432753562927,0.14914287626743317,0.003334935987368226,,,,0.0012467221822589636,0.000993862166069448,0.0012467221662484822,0.33605459332466125,10.154315021952907,1.7499862497995458,5.802511318655244,10.154336523113683,cuda,float32
3,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.08379334211349487,0.08337536454200745,0.00041797757148742676,0.002360901367814812,0.0004189667105674744,4.490720748901367,4.492341995239258,0.001621246337890625,0.0495,0.0495,0.0,-3.3747007846832275,-3.3768630027770996,0.0021622180938720703,0.0495,1.0,0.0005,0.0,0.47238826751708984,0.0010562922107055783,0.47233501076698303,0.05273844301700592,0.13257449865341187,0.1629566103219986,0.0036438205279409885,,,,0.00391243863850832,0.00039125102921389043,0.0003912415073520572,1.0708646774291992,10.154315021952907,1.7499862497995458,5.802511318655244,99.99999999528333,cuda,float32
4,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.14027008414268494,0.1395711898803711,0.0006988942623138428,0.003502041671385172,0.0007013504207134247,4.492364883422852,4.492127895355225,-0.00023698806762695312,0.06,0.059500000000000004,0.0004999999999999935,-3.384810209274292,-3.3842787742614746,-0.0005314350128173828,0.06,0.975,0.003,0.008333333333333333,1.0086064338684082,0.0022553126327693462,1.0086064338684082,0.030692150816321373,0.20051684975624084,0.19514335691928864,0.004363538231700659,,,,0.0012600462650880218,0.0010634689824655652,0.0012600462460354194,0.5566068887710571,10.592450259024917,1.7230216875762825,6.147601237640233,10.592511961450551,cuda,float32
4,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.14027008414268494,0.1395704597234726,0.0006996244192123413,0.002460968796921351,0.0007013504207134247,4.492364883422852,4.4932756423950195,0.0009107589721679688,0.06,0.059500000000000004,0.0004999999999999935,-3.384810209274292,-3.385948896408081,0.0011386871337890625,0.06,0.9833333333333333,0.0025,0.008333333333333333,0.4770663380622864,0.0010667527094483376,0.4770159125328064,0.05155773460865021,0.13667121529579163,0.152634397149086,0.003413009224459529,,,,0.0038716031704097986,0.00038716860581189394,0.00038715808438880705,1.8115350008010864,10.592450259024917,1.7230216875762825,6.147601237640233,99.99999999458488,cuda,float32
5,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.08831018954515457,0.08787016570568085,0.00044002383947372437,0.003458509736903425,0.0004415509477257729,4.371040344238281,4.371379852294922,0.000339508056640625,0.067,0.067,0.0,-3.171745538711548,-3.1720547676086426,0.00030922889709472656,0.067,0.9850746268656716,0.001,0.0,0.8630214929580688,0.001929774647578597,0.8630214929580688,0.03678327053785324,0.13660995662212372,0.1373061090707779,0.003070258069783449,,,,0.0011435258202254772,0.0009326859144493937,0.001143525965140035,0.3861311078071594,11.172467657419134,1.7303448943879185,6.456786559520674,11.172456943964102,cuda,float32
5,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.08831018954515457,0.08786967396736145,0.00044051557779312134,0.0023448481720722497,0.0004415509477257729,4.371040344238281,4.372068405151367,0.0010280609130859375,0.067,0.067,0.0,-3.171745538711548,-3.1730594635009766,0.001313924789428711,0.067,1.0,0.002,0.0,0.41494953632354736,0.0009278553770855069,0.4149068593978882,0.04865230992436409,0.10400889068841934,0.12559358775615692,0.0028083582874387503,,,,0.0034211629536002874,0.0003421235305722803,0.00034211387452689156,1.2906548976898193,11.172467657419134,1.7303448943879185,6.456786559520674,99.99999999622416,cuda,float32
6,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.05706767365336418,0.05678330361843109,0.0002843700349330902,0.003393631706848471,0.0002853383682668209,4.4605536460876465,4.461667537689209,0.0011138916015625,0.0605,0.0605,0.0,-3.2979886531829834,-3.2994384765625,0.0014498233795166016,0.0605,1.0,0.0015,0.0,0.7310540080070496,0.0016346863703802228,0.7310540080070496,0.05742383375763893,0.13015636801719666,0.1602131426334381,0.003582475008442998,,,,0.001081156195141375,0.0008397584897466004,0.001081156202791566,0.2639196515083313,11.365209225651327,1.7421113881933572,6.523813174447776,11.365201905115958,cuda,float32
6,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.05706767365336418,0.056783027946949005,0.0002846457064151764,0.002427510383029866,0.0002853383682668209,4.4605536460876465,4.461865425109863,0.0013117790222167969,0.0605,0.0605,0.0,-3.2979886531829834,-3.2997682094573975,0.0017795562744140625,0.0605,1.0,0.0005,0.0,0.3901940584182739,0.0008725004154257476,0.3901374638080597,0.05000746250152588,0.09591736644506454,0.12503375113010406,0.0027958396822214127,,,,0.0032070260494947433,0.00032070893212221563,0.0003207002746715711,0.8897353410720825,11.365209225651327,1.7421113881933572,6.523813174447776,99.99999999569954,cuda,float32
7,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,500,0.10521577298641205,0.10469140112400055,0.000524371862411499,0.0032447654417397495,0.0005260788649320602,4.5635480880737305,4.5643086433410645,0.0007605552673339844,0.0475,0.0485,-0.0010000000000000009,-3.422379493713379,-3.4232256412506104,0.0008461475372314453,0.0475,0.9578947368421052,0.0025,0.0,1.1294887065887451,0.002525613410398364,1.1294887065887451,0.06505726277828217,0.13959698379039764,0.15445220470428467,0.0034536560997366905,,,,0.0015068113571032882,0.0012448844499886036,0.0015068114026237159,0.34913384914398193,10.374200269416841,1.750790775267159,5.925436903123851,10.374147938379904,cuda,float32
