group_type,problem_family,base_setting,source_algo,checkpoint_step,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,3,recovery_after,5,0,1.0501593461524652,1.0450728676316037,1.0552458246733267,1.050152938783371,1.0450700083940714,1.0552605911349648,5,0.05682108524830039,0.05023869355135983,0.06340347694524094
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0,total_decrease,5,5,1.0922908776449805,1.0868420748740295,1.0977396804159314,1.0922838306616733,1.0868519745738028,1.0977428340163746,5,0.0008492070348616491,0.0008075803647538743,0.0008908337049694239
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0,loss_after,5,5,0.6221794174483095,0.5890406853605155,0.6553181495361036,0.6217167125656028,0.5892172130553706,0.6560087894904334,5,-0.0008492070348616488,-0.0008908337049694231,-0.0008075803647538745
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0,recovery_after,5,5,0.9669751152034477,0.9590119771183087,0.9749382532885867,0.9669580548213293,0.9590121686840716,0.9749697765220638,5,-0.039481825894645974,-0.04974362151330044,-0.02922003027599151
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,1,total_decrease,5,5,4.800179136694682,3.79076265400258,5.809595619386784,4.74649071370043,3.8578609569070945,5.839809766836801,5,0.0022093080450403665,0.0020808870171472546,0.0023377290729334785
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,1,loss_after,5,5,0.019215670779770214,0.017124687097802044,0.021306654461738385,0.019157520852257567,0.01720126592115804,0.02133625553414939,5,-0.0022093080450403665,-0.0023377290729334785,-0.0020808870171472546
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,1,recovery_after,5,5,0.9499313123374458,0.9424822752194963,0.9573803494553952,0.9499161988737848,0.9425121993081426,0.9573783613041712,5,-0.05973962536616488,-0.06900606468064159,-0.05047318605168817
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,3,total_decrease,5,5,1.2457535437188618,1.1924736263846103,1.2990334610531133,1.2451689132329202,1.193458908947406,1.2991194006411977,5,0.0006036701733272113,0.0005007437921306261,0.0007065965545237964
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,3,loss_after,5,5,0.7327352538398303,0.7007041415661504,0.7647663661135102,0.732371999269124,0.7010445003918016,0.7650994266607707,5,-0.0006036701733272114,-0.0007065965545237964,-0.0005007437921306263
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+05,Adam,3,recovery_after,5,4,0.9952646400113272,0.9912659614586088,0.9992633185640456,0.9952604791408943,0.9912753897121018,0.999261589281913,5,-0.0056671479692668395,-0.010463895723273959,-0.0008704002152597201
