seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,target_head_gain_fraction
12,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1023905815495899,0.1018828234213877,0.0005077581282022,0.0081936824310513,0.0005119529077479,11.692237031888524,11.691388874772851,-0.000848157115671,0.19,0.19,0.0,-10.682582505466309,-10.681023635646106,-0.0015588698202027,0.19,1.0,0.0,0.0,0.1405647907080426,0.0031431242726621,0.1405625698344779,0.005615805206465,0.0392547822712642,0.0387683576848465,0.002741336861442,0.1405599083122657,5.235763599051456e-06,3.724933846299732e-05,0.0010589750443336,0.0009575582616716,0.0010589750443336,0.4834419002480612,2.0542654766128714,1.2364002624887285,1.6627484725339872,0.005
12,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1023905815495899,0.101881032521633,0.0005095490279569,0.0046955095959587,0.0005119529077479,11.692237031888524,11.69224709842396,1.0066535436337176e-05,0.19,0.19,0.0,-10.682582505466309,-10.68243891542761,-0.0001435900386983,0.19,1.0,0.0,0.0,0.1198096300737986,0.0026790247720411,0.1197725897047877,0.0115322963010699,0.0355775910924837,0.0358856626489883,0.0025374995406472,0.1198088528824227,1.5789872262149287e-05,0.0001317921996769,0.0037174708305901,0.0005736182025464,0.0005736182025464,0.8924976673949193,2.0542654766128714,1.2364002624887285,1.6627484725339872,0.005
13,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2983265704719595,0.2968420947695589,0.0014844757024005,0.0047981981275803,0.0014916328523597,11.798497151250212,11.80006884622772,0.0015716949775068,0.175,0.175,0.0,-10.978011469887065,-10.981046201775914,0.0030347318888495,0.175,1.0,0.01,0.0,0.2572700668247841,0.0057527335799613,0.2572655202538927,0.0384041736670284,0.0685383031919131,0.0838387633561813,0.005928295809545,0.2572618518147768,1.454077507540838e-05,5.65213029947302e-05,0.0019309239733104,0.0016027704155969,0.0019309239733104,0.772496935652249,3.1275895819911073,1.2238854867405935,2.560102197792144,0.005
13,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2983265704719595,0.2968399261628966,0.0014866443090628,0.0033443506483767,0.0014916328523597,11.798497151250212,11.79968221051039,0.0011850592601785,0.175,0.175,0.0,-10.978011469887065,-10.980256746188951,0.0022452763018865,0.175,1.0,0.005,0.0,0.1814949805140377,0.0040583511400438,0.1814488857320021,0.0274044015064021,0.0536005823447138,0.0643779971646593,0.0045522118354338,0.1814945147140231,3.67035820118338e-05,0.0002022297041299,0.005627554391515,0.0008683504947046,0.0008683504947046,1.7177773968645502,3.1275895819911073,1.2238854867405935,2.560102197792144,0.005
14,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0876991205575151,0.0872651479089386,0.0004339726485765,0.0103147082486574,0.0004384956027875,11.872463839575502,11.872477602474534,1.376289903198824e-05,0.17,0.17,0.0,-11.114137358697672,-11.114290258910165,0.0001529002124929,0.17,1.0,0.0,0.0,0.2073888858510883,0.0046373564654097,0.2073841596245915,0.0111832581853314,0.0744639116561221,0.0735633362388022,0.0052017133901163,0.2073857407459079,8.454089787842657e-06,4.076504853918926e-05,0.0014611925267861,0.0012363173998933,0.0014611925267861,0.3000943371589942,2.697432100300075,1.2206392561552022,2.2207234058691645,0.005
14,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0876991205575151,0.0872631996020551,0.0004359209554599,0.0058715465131535,0.0004384956027875,11.872463839575502,11.873139244530314,0.0006754049548121,0.17,0.17,0.0,-11.114137358697672,-11.115253897055275,0.0011165383576035,0.17,1.0,0.0,0.0,0.1567639764206891,0.0035053490769983,0.1566940323287065,0.0171318639706844,0.0612248025222337,0.0627653802862679,0.0044381826024172,0.1567621243540694,2.3732245534531034e-05,0.0001513901756072,0.0045399542193407,0.0007005301447188,0.0007005301447188,0.6259482280574655,2.697432100300075,1.2206392561552022,2.2207234058691645,0.005
15,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1577973256972249,0.1570129576101399,0.0007843680870849,0.0058537638464178,0.0007889866284861,10.927135648976414,10.926417524365636,-0.0007181246107776,0.195,0.195,0.0,-9.951316310031515,-9.950155440673928,-0.0011608693575873,0.195,1.0,0.01,0.0,0.1646759815270148,0.003682266889559,0.164674305886748,0.0092719628425647,0.0358119423191289,0.0325459753475526,0.0023013479868584,0.1646706991781846,8.300453758355665e-06,5.040637951852031e-05,0.001313486826565,0.0011467825709784,0.001313486826565,0.6006810365578327,2.4154291252369986,1.250537340054298,1.9317572508966507,0.005
15,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1577973256972249,0.1570113015344282,0.0007860241627967,0.0037547729992135,0.0007889866284861,10.927135648976414,10.927455846337653,0.0003201973612387,0.195,0.195,0.0,-9.951316310031515,-9.952037943171131,0.0007216331396175,0.195,1.0,0.01,0.0,0.133822796073915,0.0029923686896036,0.1337797555376364,0.0256328331885349,0.0377057825598496,0.0416922405184555,0.002948086599346,0.1338236761060025,2.0362687153586896e-05,0.0001521605723747,0.004283440468362,0.0006609492136314,0.0006609492136314,1.193717478157187,2.4154291252369986,1.250537340054298,1.9317572508966507,0.005
16,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2417549478807895,0.240557042340074,0.0011979055407154,0.008991914154192,0.0012087747394039,11.731373274577695,11.727195986055207,-0.0041772885224879,0.195,0.195,0.0,-10.830356084949033,-10.826542958098209,-0.0038131268508223,0.195,1.0,0.0,0.0,0.3198277609199138,0.0071515661450847,0.319821264863895,0.0631955741651942,0.155205028942002,0.1712217868950619,0.0121072086600376,0.3198340219379326,1.1846945404667503e-05,3.704091682581079e-05,0.0022940338870863,0.0019166090166693,0.0022940338870863,0.5269210477702185,2.8296840554752025,1.218539757297849,2.3326412864370143,0.005
16,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2417549478807895,0.2405534176416593,0.0012015302391301,0.0059932591554268,0.0012087747394039,11.731373274577695,11.728628614141078,-0.0027446604366172,0.195,0.195,0.0,-10.830356084949033,-10.8281968640061,-0.0021592209429321,0.195,1.0,0.0,0.0,0.2365161491341828,0.0052886618724051,0.2363913671147993,0.0582526113525409,0.115988030625357,0.1275634516607696,0.0090200981700892,0.2365335344838118,5.236275595353549e-05,0.0002213756119943,0.0068756458058737,0.0010609351809991,0.0010609351809991,1.139348341965238,2.8296840554752025,1.218539757297849,2.3326412864370143,0.005
