problem_family,base_setting,seed,step,eval_algo,update_source,source_algo,budget,target_layer_relative_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,op,0.01,0.00011891317213957395,0.00011645477055284983,2.4584015867241163e-06,2.3912471548623272e-06,0.4284296805619831,0.0331483545759875
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,fro,0.0001,0.00011891317213957395,0.00011888685082170255,2.632131787140145e-08,2.6314980051184068e-08,0.24535062335530397,0.0006369904757744224
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,op,0.0001,0.00011891317213957395,0.00011888218263846154,3.098950111240649e-08,3.098035596392656e-08,0.2722005920583308,0.0006759497277183075
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,fro,0.0003,0.00011891317213957395,0.00011883417016755311,7.90019720208374e-08,7.894494015355219e-08,0.24535062335530397,0.0019109714273232666
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,op,0.0003,0.00011891317213957395,0.00011882014877369251,9.30233658814417e-08,9.294106789177968e-08,0.2722005920583308,0.002027849183154922
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,fro,0.001,0.00011891317213957395,0.00011864938898727,2.6378315230394655e-07,2.631498005118407e-07,0.245350623355304,0.006369904757744222
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,op,0.001,0.00011891317213957395,0.00011860245449031328,3.1071764926067123e-07,3.0980355963926564e-07,0.2722005920583308,0.006759497277183074
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,fro,0.003,0.00011891317213957395,0.00011811803155118896,7.951405883849905e-07,7.89449401535522e-07,0.24535062335530397,0.01910971427323267
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,op,0.003,0.00011891317213957395,0.00011797554381938187,9.376283201920803e-07,9.294106789177968e-07,0.2722005920583308,0.02027849183154922
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,fro,0.01,0.00011891317213957395,0.00011621883463423217,2.694337505341774e-06,2.631498005118407e-06,0.245350623355304,0.06369904757744223
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_update,Muon,op,0.01,0.00011891317213957395,0.00011572426886949517,3.1889032700787803e-06,3.098035596392656e-06,0.2722005920583308,0.06759497277183074
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,fro,0.0001,0.0001513786363547434,0.00015137628940430282,2.3469504405767942e-09,2.3459311358056046e-09,0.08830552243893405,0.0006373322997122616
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,op,0.0001,0.0001513786363547434,0.00015137610008702316,2.5362677202303476e-09,2.535078761427488e-09,0.09325612278558919,0.0006521577135013933
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,fro,0.0003,0.0001513786363547434,0.00015137158938343035,7.046971313044237e-09,7.037793407416813e-09,0.08830552243893404,0.0019119968991367846
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,op,0.0003,0.0001513786363547434,0.00015137102041258636,7.615942157034993e-09,7.605236284282463e-09,0.09325612278558919,0.0019564731405041797
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,fro,0.001,0.0001513786363547434,0.0001513550749046147,2.3561450128694586e-08,2.3459311358056045e-08,0.08830552243893404,0.006373322997122617
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,op,0.001,0.0001513786363547434,0.00015135316640885784,2.5469945885551494e-08,2.535078761427488e-08,0.09325612278558919,0.006521577135013933
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,fro,0.003,0.0001513786363547434,0.00015130733499259697,7.130136214642587e-08,7.037793407416813e-08,0.08830552243893405,0.019119968991367847
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,op,0.003,0.0001513786363547434,0.00015130150630145167,7.713005329172337e-08,7.605236284282465e-08,0.09325612278558922,0.019564731405041797
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,fro,0.01,0.0001513786363547434,0.00015113361881072585,2.4501754401754406e-07,2.3459311358056046e-07,0.08830552243893405,0.06373322997122616
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_update,Muon,op,0.01,0.0001513786363547434,0.0001511129471578415,2.6568919690188515e-07,2.5350787614274884e-07,0.0932561227855892,0.06521577135013933
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,fro,0.0001,0.0001513786363547434,0.00015137578197921405,2.854375529340314e-09,2.852191552570373e-09,0.10736217329719262,0.0006373322997122616
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,op,0.0001,0.0001513786363547434,0.00015137711097870538,1.5253760380186995e-09,1.5247552859585441e-09,0.11443841250395247,0.0003196442208388092
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,fro,0.0003,0.0001513786363547434,0.000151370060105905,8.576248838404682e-09,8.556574657711116e-09,0.1073621732971926,0.0019119968991367846
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,op,0.0003,0.0001513786363547434,0.00015137405649934117,4.579855402228215e-09,4.574265857875632e-09,0.11443841250395247,0.0009589326625164276
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,fro,0.001,0.0001513786363547434,0.00015134989512013926,2.8741234604139163e-08,2.852191552570373e-08,0.10736217329719261,0.006373322997122617
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,op,0.001,0.0001513786363547434,0.00015136332658772207,1.5309767021324952e-08,1.524755285958544e-08,0.11443841250395247,0.0031964422083880922
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,fro,0.003,0.0001513786363547434,0.00015129107814936655,8.75582053768472e-08,8.556574657711119e-08,0.10736217329719262,0.019119968991367847
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,op,0.003,0.0001513786363547434,0.00015133233097673967,4.630537800371986e-08,4.574265857875633e-08,0.1144384125039525,0.009589326625164277
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,fro,0.01,0.0001513786363547434,0.0001510705364377679,3.0809991697548864e-07,2.852191552570373e-07,0.10736217329719261,0.06373322997122616
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_update,Adam,op,0.01,0.0001513786363547434,0.00015121979825491748,1.5883809982591588e-07,1.5247552859585444e-07,0.1144384125039525,0.03196442208388092
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,own_update,Adam,fro,0.0001,1.5386980753242767e-05,1.539210524954972e-05,-5.124496306954668e-09,-5.056673743675449e-09,-0.0554681112347312,0.000656758023978939
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,own_update,Adam,op,0.0001,1.5386980753242767e-05,1.538925563973716e-05,-2.274886494393354e-09,-2.256975543892037e-09,-0.04536607962935526,0.00035840943506844
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,own_update,Adam,fro,0.0003,1.5386980753242767e-05,1.5402759825174255e-05,-1.5779071931487973e-08,-1.5170021231026347e-08,-0.055468111234731214,0.0019702740719368165
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,own_update,Adam,op,0.0003,1.5386980753242767e-05,1.5393912688382373e-05,-6.931935139606489e-09,-6.7709266316761094e-09,-0.045366079629355245,0.00107522830520532
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,own_update,Adam,fro,0.001,1.5386980753242767e-05,1.544426242850535e-05,-5.728167526258189e-08,-5.056673743675447e-08,-0.055468111234731186,0.006567580239789389
