group_type,problem_family,base_setting,target_layer_relative_norm,budget,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,fro,Adam,update_grad_inner,20,19,3,0.70401941691336,0.3823263846386136,1.0257124491881064,0.5969025876083897,0.449060258502158,0.7934184607696232,19,False,True,-3.92643283480461e-09,-1.365750759780209e-08,5.8046419281928685e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,fro,Adam,delta_loss,20,19,3,0.7014338000120891,0.38336621896224105,1.019501381061937,0.5960876070571769,0.44895123026513045,0.791445509743486,19,False,True,-3.932758863002174e-09,-1.3667460004962796e-08,5.801942278958449e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,fro,Adam,update_grad_cosine,20,19,3,0.70401941691336,0.3823263846386136,1.0257124491881064,0.5969025876083897,0.449060258502158,0.7934184607696232,19,False,True,-0.05613322975306843,-0.15943371019495498,0.04716725068881813
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,fro,Muon,update_grad_inner,20,15,10,0.8161826587149941,0.4897715053023512,1.1425938121276369,1.1611243480256919,0.9865284038629563,1.366620308446157,15,False,False,-2.894728359486519e-09,-5.352726664194524e-09,-4.3673005477851405e-10
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,fro,Muon,delta_loss,20,15,10,0.8164714366866495,0.49006094922880306,1.1428819241444959,1.1613548054372813,0.9866727571222401,1.3669628297492031,15,False,False,-2.8947610335842173e-09,-5.3530807808700365e-09,-4.3644128629839856e-10
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,fro,Muon,update_grad_cosine,20,15,10,0.8161826587149941,0.4897715053023512,1.1425938121276369,1.1611243480256919,0.9865284038629563,1.366620308446157,15,False,False,-0.033408078076783754,-0.068862929050534,0.0020467728969664895
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,op,Adam,update_grad_inner,20,19,11,1.6191680190046962,0.8303186907447612,2.4080173472646313,1.339631194378638,0.9964603685663576,1.8009865656115427,19,False,False,4.835447881296047e-09,-1.1580821276093748e-09,1.0828977890201468e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,op,Adam,delta_loss,20,19,11,1.6144302348746915,0.8314327150287106,2.397427754720672,1.3380247933520253,0.9961680892062141,1.797197046385334,19,False,False,4.819772807875631e-09,-1.1655995165485158e-09,1.0805145132299778e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,op,Adam,update_grad_cosine,20,19,4,0.7511844334585892,0.3861997078046575,1.116169159112521,0.6229098749912881,0.46416418476238763,0.8359471176353116,19,False,True,-0.06016396384325319,-0.16904706560311186,0.04871913791660548
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,op,Muon,update_grad_inner,20,15,0,0.39126281458148254,0.24286066770436132,0.5396649614586038,0.5461062584248192,0.4638574588560319,0.6429389886847074,15,False,True,-3.2947279950505988e-09,-5.55792613802839e-09,-1.031529852072808e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,op,Muon,delta_loss,20,15,0,0.39128362038716974,0.2428992574061426,0.5396679833681969,0.5460916470075107,0.46382903266813225,0.6429439856662618,15,False,True,-3.2958283904826763e-09,-5.5597844104277355e-09,-1.0318723705376174e-09
