run_id,hidden_dim,target_layer_relative_update_norm,algo,seed,final_loss,final_recovery_error,initial_loss,total_loss_decrease
51,64,0.001,Muon,0,2.3023872345945113,0.9453125,2.3026985408830147,0.00031130628850339903
52,64,0.001,Adam,1,2.3026605340078357,0.92578125,2.3028649017923835,0.0002043677845477987
53,64,0.001,Muon,1,2.30271519005174,0.9248046875,2.3028649017923835,0.00014971174064326576
54,64,0.001,Adam,2,2.3020609342172675,0.86328125,2.302544621857513,0.0004836876402456447
55,64,0.001,Muon,2,2.3021290407475705,0.8740234375,2.302544621857513,0.0004155811099426643
56,64,0.001,Adam,3,2.302200176995143,0.859375,2.30239590189129,0.00019572489614683164
57,64,0.001,Muon,3,2.302260314661431,0.86328125,2.30239590189129,0.00013558722985873572
58,64,0.001,Adam,4,2.3026297413850405,0.826171875,2.302424395280005,-0.00020534610503553097
59,64,0.001,Muon,4,2.3026891159543146,0.83984375,2.302424395280005,-0.0002647206743096042
60,64,0.003,Adam,0,2.3020274040734576,0.8955078125,2.3026985408830147,0.0006711368095571046
61,64,0.003,Muon,0,2.3021889577054377,0.9169921875,2.3026985408830147,0.0005095831775769888
62,64,0.003,Adam,1,2.3023569878091594,0.9140625,2.3028649017923835,0.0005079139832240287
63,64,0.003,Muon,1,2.3025212927970036,0.9169921875,2.3028649017923835,0.0003436089953798849
64,64,0.003,Adam,2,2.301712203562176,0.8291015625,2.302544621857513,0.0008324182953369785
65,64,0.003,Muon,2,2.3019187150748674,0.84765625,2.302544621857513,0.0006259067826457354
66,64,0.003,Adam,3,2.301866892542332,0.833984375,2.30239590189129,0.0005290093489578318
67,64,0.003,Muon,3,2.3020462457544264,0.849609375,2.30239590189129,0.000349656136863441
68,64,0.003,Adam,4,2.3022955686246473,0.7744140625,2.302424395280005,0.00012882665535762783
69,64,0.003,Muon,4,2.3024787324247624,0.794921875,2.302424395280005,-5.433714475744367e-05
70,64,0.01,Adam,0,2.3009518306490295,0.779296875,2.3026985408830147,0.0017467102339852048
71,64,0.01,Muon,0,2.3014977490574897,0.826171875,2.3026985408830147,0.001200791825525016
72,64,0.01,Adam,1,2.301269368577218,0.7783203125,2.3028649017923835,0.0015955332151653678
73,64,0.01,Muon,1,2.301837388953335,0.8671875,2.3028649017923835,0.001027512839048672
74,64,0.01,Adam,2,2.3004873208827052,0.6904296875,2.302544621857513,0.0020573009748079407
75,64,0.01,Muon,2,2.301175304451311,0.7958984375,2.302544621857513,0.001369317406202164
76,64,0.01,Adam,3,2.3006254218992392,0.763671875,2.30239590189129,0.0017704799920505998
77,64,0.01,Muon,3,2.301284116657158,0.7900390625,2.30239590189129,0.0011117852341318013
78,64,0.01,Adam,4,2.3010552311200363,0.6865234375,2.302424395280005,0.0013691641599686832
79,64,0.01,Muon,4,2.3017288531530418,0.6904296875,2.302424395280005,0.0006955421269632112
80,64,0.03,Adam,0,2.297426828135387,0.42578125,2.3026985408830147,0.0052717127476276104
81,64,0.03,Muon,0,2.299396431689631,0.595703125,2.3026985408830147,0.0033021091933838065
82,64,0.03,Adam,1,2.2975482420665525,0.3974609375,2.3028649017923835,0.005316659725830952
83,64,0.03,Muon,1,2.2997232387312527,0.5986328125,2.3028649017923835,0.0031416630611307284
84,64,0.03,Adam,2,2.296673541936117,0.4716796875,2.302544621857513,0.005871079921396127
85,64,0.03,Muon,2,2.2988852690739243,0.5625,2.302544621857513,0.003659352783588865
86,64,0.03,Adam,3,2.2962491080251612,0.4697265625,2.30239590189129,0.006146793866128597
87,64,0.03,Muon,3,2.298884347393019,0.56640625,2.30239590189129,0.003511554498270897
88,64,0.03,Adam,4,2.296842678313272,0.533203125,2.302424395280005,0.00558171696673293
89,64,0.03,Muon,4,2.2993926375170934,0.560546875,2.302424395280005,0.0030317577629115355
90,64,0.1,Adam,0,2.2697201760061687,0.2548828125,2.3026985408830147,0.03297836487684602
91,64,0.1,Muon,0,2.287174874376159,0.1708984375,2.3026985408830147,0.015523666506855882
92,64,0.1,Adam,1,2.2675293517981445,0.3876953125,2.3028649017923835,0.035335549994238935
93,64,0.1,Muon,1,2.2868949598688926,0.197265625,2.3028649017923835,0.015969941923490882
94,64,0.1,Adam,2,2.2673618547688537,0.330078125,2.302544621857513,0.03518276708865953
95,64,0.1,Muon,2,2.285980016073434,0.21484375,2.302544621857513,0.016564605784079145
96,64,0.1,Adam,3,2.2644933822444218,0.5302734375,2.30239590189129,0.03790251964686808
97,64,0.1,Muon,3,2.284709353128056,0.3212890625,2.30239590189129,0.017686548763233834
98,64,0.1,Adam,4,2.2650120786075076,0.55859375,2.302424395280005,0.03741231667249734
99,64,0.1,Muon,4,2.285509046936581,0.376953125,2.302424395280005,0.016915348343423897
