seed,layer,geometry,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,alignment,step_size,head_gradient_nuclear_rank,tail_activation_stable_rank,condition_score,tail_sandwiched_stable_rank,tail_local_operator_stable_rank,theorem_condition_score,local_operator_condition_score,jvp_tail_drift_sq,scaled_jvp_tail_drift_sq,tail_output_drift_fro,tail_output_drift_rms,tail_loss_before,tail_loss_after,tail_loss_increase,tail_margin_before,tail_margin_after,tail_margin_drop,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop
9,2,frobenius,0.21510892819163277,0.21097444157717266,0.0041344866144601145,0.004302178563832655,0.5425598001210485,0.007929409003160227,2.4223197900806994,1.1161126472319283,2.1703183778880173,1.1158389366798156,11.161126472319264,2.170850747768602,0.21703183778880208,19064.853652751506,1.1987127232522374,1.0948573985920573,0.024481755689204226,11.597777398530516,11.59763864203877,-0.0001387564917454398,-10.641203524984535,-10.640431725449472,-0.0007717995350624562,0.195,0.195,0.0
9,2,spectral,0.21510892819163277,0.21091850740626475,0.004190420785368021,0.004302178563832655,0.8444294109485218,0.005094775842779031,2.4223197900806994,1.1161126472319283,2.1703183778880173,1.1158389366798156,11.161126472319264,2.170850747768602,0.21703183778880208,26414.470634609475,0.6856335699605958,0.8280299330100692,0.01851531217615113,11.597777398530516,11.601017475682918,0.0032400771524017102,-10.641203524984535,-10.64714907263055,0.005945547646014404,0.195,0.195,0.0
10,1,frobenius,0.17246292955506234,0.1690787714856299,0.003384158069432458,0.003449258591101247,0.1933510412303801,0.01783935875986007,2.747564827143261,1.3242601224907058,2.074792391977766,,4.447100342005166,,0.6178328834164338,3709.205025895766,1.1804275000506894,1.0860203609455665,0.024284153520231447,11.228019432139067,11.221453651564364,-0.006565780574703695,-10.32018381728935,-10.313577846936749,-0.006605970352600465,0.19,0.19,0.0
10,1,spectral,0.17246292955506234,0.16905665363821262,0.0034062759168497214,0.003449258591101247,0.3204944322823505,0.010762304251396494,2.747564827143261,1.3242601224907058,2.074792391977766,,4.447100342005166,,0.6178328834164338,4955.457138058498,0.5739766893401896,0.7576124928619644,0.016940730346424265,11.228019432139067,11.222325458545479,-0.005693973593588808,-10.32018381728935,-10.31520842849402,-0.004975388795328328,0.19,0.19,0.0
10,2,frobenius,0.17246292955506234,0.1690998159608054,0.00336311359425695,0.003449258591101247,0.5496605613408494,0.006275252098653539,2.083391073440763,1.1432217230797654,1.8223858341566868,1.1426492457505313,11.432217230797637,1.8232988654994648,0.18223858341566895,17936.767988181582,0.706328200184577,0.8404333407144213,0.01879266080394689,11.228019432139067,11.221061916654605,-0.006957515484462107,-10.32018381728935,-10.311026899736575,-0.009156917552774146,0.19,0.19,0.0
10,2,spectral,0.17246292955506234,0.16908142727788308,0.0033815022771792602,0.003449258591101247,0.7933776767350719,0.004347561939599466,2.083391073440763,1.1432217230797654,1.8223858341566868,1.1426492457505313,11.432217230797637,1.8232988654994648,0.18223858341566895,24643.69730972513,0.46579778827278184,0.6824938009043509,0.015261025330443361,11.228019432139067,11.222847033141441,-0.005172398997626004,-10.32018381728935,-10.316196521061002,-0.003987296228347148,0.19,0.19,0.0
11,1,frobenius,0.16207590592176782,0.15889737212322755,0.003178533798540273,0.0032415181184353567,0.18400392257475334,0.017616570739781155,3.008365567868968,1.3392562842156186,2.2462956517922334,,4.440041383021962,,0.6775534974454286,3120.2857927145856,0.9683606155744958,0.9835980551533938,0.02199392113859575,11.275676107802578,11.275289132374263,-0.00038697542831478415,-10.283143323399472,-10.283121947392528,-2.1376006943185644e-05,0.2,0.2,0.0
11,1,spectral,0.16207590592176782,0.1588723204029123,0.003203585518855523,0.0032415181184353567,0.3191481902037799,0.010156780511165078,3.008365567868968,1.3392562842156186,2.2462956517922334,,4.440041383021962,,0.6775534974454286,3860.2271219067616,0.398221764697788,0.6309397987568446,0.01410824279730342,11.275676107802578,11.278096603351436,0.002420495548857815,-10.283143323399472,-10.287824881073137,0.004681557673665182,0.2,0.2,0.0
11,2,frobenius,0.16207590592176782,0.15889872592361484,0.003177179998152979,0.0032415181184353567,0.6113958282295264,0.005301832248057876,2.375949957901028,1.1434786888244617,2.077826181739856,1.1428458544753073,11.434786888244599,2.0789767479113377,0.20778261817398594,16179.42705486248,0.4547943943598421,0.6743844559001207,0.015079694863618794,11.275676107802578,11.280117274471314,0.004441166668735619,-10.283143323399472,-10.293574348614241,0.010431025214769463,0.2,0.2,0.0
11,2,spectral,0.16207590592176782,0.1588793631486576,0.0031965427731102114,0.0032415181184353567,0.9424126688840452,0.003439595227718861,2.375949957901028,1.1434786888244617,2.077826181739856,1.1428458544753073,11.434786888244599,2.0789767479113377,0.20778261817398594,23573.496464923628,0.27889368337179893,0.5281038566150936,0.011808761225711515,11.275676107802578,11.281352729017765,0.005676621215187083,-10.283143323399472,-10.295749713253647,0.012606389854175504,0.2,0.2,0.0
