split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_role,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,5000,source_observed_drift_positive_control,positive_control,21,0.11948051948051949,-0.3584777422828419,0.5478093939577074,0.1836937365244247,-0.29988143743634504,0.592165756567304,0.2,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,10000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.7116883116883117,-0.8822409198375902,-0.3760101040137896,-0.8731589845300046,-0.9509308454196157,-0.691607959350828,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,10000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6454545454545455,0.2657410299866432,0.8517957225146943,0.7946062331137067,0.5288979810391791,0.9184452740468674,0.8,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,10000,early_layer_prior,baseline,21,-0.803896103896104,-0.9223762321385449,-0.5471732938179479,-0.7526428910196643,-0.9003785823338452,-0.44930684861339915,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,10000,source_observed_drift_positive_control,positive_control,21,0.13506493506493505,-0.3445944166969791,0.5588005387184994,0.19651521774974143,-0.28772750660454105,0.6007355454342026,0.2,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,2000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.6831168831168831,-0.8692803447025735,-0.32724771512079126,-0.8744032059264876,-0.951431959869239,-0.6943424679532372,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,2000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6116883116883116,0.21310567691987958,0.8357190341220064,0.7955312518882293,0.5307067257530464,0.9188377903634617,0.8,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,2000,early_layer_prior,baseline,21,-0.7779220779220779,-0.9113235101349247,-0.49668364269062637,-0.728863852130453,-0.8899096386299549,-0.4062462407011005,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,2000,source_observed_drift_positive_control,positive_control,21,0.06103896103896104,-0.4087229918288965,0.5052322487454708,0.052751337655517455,-0.41562497478983873,0.49901406251296876,0.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,5000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.6584415584415585,-0.8578772817826754,-0.28660669587132975,-0.8750162801731037,-0.9516787276091554,-0.6956917771877313,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,5000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.5610389610389611,0.13826471484056463,0.810861832272673,0.7995066096323844,0.5385075373905478,0.9205218945588295,0.8,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,5000,early_layer_prior,baseline,21,-0.7753246753246753,-0.91020755907494,-0.49173723997038976,-0.7253005941032374,-0.8883261265599993,-0.3999147925648865,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,5000,source_observed_drift_positive_control,positive_control,21,0.08831168831168833,-0.3856243026516255,0.5253743853959961,0.07697474429268555,-0.39529884404055754,0.5170606116478546,0.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,10000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.6584415584415585,-0.8578772817826754,-0.28660669587132975,-0.8681740323328722,-0.9489190383483306,-0.6807041464967406,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,10000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6077922077922078,0.20717768289676725,0.8338389875998324,0.7980219355638223,0.5355889301034774,0.919893459055235,0.8,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,10000,early_layer_prior,baseline,21,-0.7597402597402596,-0.9034704668356189,-0.4624382664180067,-0.7222560817368439,-0.8869700666208243,-0.3945295788050113,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,10000,10000,source_observed_drift_positive_control,positive_control,21,0.08181818181818182,-0.391178408522269,0.5206226609619432,0.09104125460933746,-0.38327931752270694,0.5273636828195689,0.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
