group_type,problem_family,base_setting,budget,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta,delta_ci95_low,delta_ci95_high
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,op,flat_polar_over_gd_spectrum,delta_loss,30,1.6729106630326518,1.6313589994063897,1.7155206717262708,True,False,6.098414777810923e-05,2.866966428085401e-05,9.329863127536446e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,op,top_singular_over_gd_spectrum,update_grad_inner,30,0.502663810641464,0.48105074080001214,0.5252479314518732,False,True,-5.3524905007104174e-05,-8.47061253970781e-05,-2.2343684617130245e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,op,top_singular_over_gd_spectrum,delta_loss,30,0.5022963098163429,0.48056694223991664,0.5250081948607221,False,True,-5.379077582109796e-05,-8.517138441879747e-05,-2.2410167223398456e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,fro,flat_polar_over_gd_spectrum,update_grad_inner,30,0.4848945907090467,0.47632340953135344,0.49362000563908304,False,True,-0.0002854719697607291,-0.00044065503112976026,-0.00013028890839169796
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,fro,flat_polar_over_gd_spectrum,delta_loss,30,0.48597447615622374,0.47756079747028857,0.49453638725446153,False,True,-0.00028472699822098174,-0.00043977216304230064,-0.00012968183339966285
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,fro,top_singular_over_gd_spectrum,update_grad_inner,30,0.6786104884749655,0.661616991507927,0.6960404599323442,False,True,-0.0001838962445258326,-0.0002862510158657501,-8.154147318591512e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,fro,top_singular_over_gd_spectrum,delta_loss,30,0.6744765221927624,0.6573632214427282,0.692035337770837,False,True,-0.00018609937729448708,-0.0002894194090608649,-8.277934552810925e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,op,flat_polar_over_gd_spectrum,update_grad_inner,30,1.796737613863088,1.7521452161688156,1.842464895763175,True,False,0.000251893086150231,0.00010675592058382013,0.0003970302517166418
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,op,flat_polar_over_gd_spectrum,delta_loss,30,1.7968985629952603,1.752399294850337,1.842527816110648,True,False,0.0002524284775564656,0.00010685541751226916,0.000398001537600662
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,op,top_singular_over_gd_spectrum,update_grad_inner,30,0.45538019566577304,0.4338349417714066,0.477995437061555,False,True,-0.00020002146625717912,-0.00032328632871070654,-7.67566038036517e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=64,op,top_singular_over_gd_spectrum,delta_loss,30,0.454685707834049,0.4331200453438521,0.47732515530289277,False,True,-0.0002004381364881643,-0.00032397056937681493,-7.690570359951364e-05
budget_all,All,All,fro,flat_polar_over_gd_spectrum,update_grad_inner,120,0.6070694073361543,0.5845706179774689,0.6304341237651359,False,True,-9.251281406412303e-05,-0.00013656972821680447,-4.845589991144159e-05
budget_all,All,All,fro,flat_polar_over_gd_spectrum,delta_loss,120,0.6054051138845126,0.5827033703636099,0.6289913025366788,False,True,-9.221581442469553e-05,-0.00013622297506633456,-4.82086537830565e-05
budget_all,All,All,fro,top_singular_over_gd_spectrum,update_grad_inner,120,0.6443755929276869,0.6035251647204403,0.6879910383740878,False,True,-8.211413410534252e-05,-0.00011193511886261402,-5.229314934807102e-05
budget_all,All,All,fro,top_singular_over_gd_spectrum,delta_loss,120,0.6435418738759926,0.6028570376926543,0.6869723956726237,False,True,-8.250508645780085e-05,-0.00011255865449314822,-5.245151842245348e-05
budget_all,All,All,op,flat_polar_over_gd_spectrum,update_grad_inner,120,1.6890540849887379,1.613606819142499,1.7680290317149436,True,False,0.00011632261812535463,7.395601071305012e-05,0.00015868922553765913
budget_all,All,All,op,flat_polar_over_gd_spectrum,delta_loss,120,1.6860854341999094,1.61142874909928,1.7642009260478617,True,False,0.00011528815517979908,7.300390595385866e-05,0.0001575724044057395
