split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_role,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,threshold_below_one_accuracy_ci95_low,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,5000,source_observed_drift_positive_control,positive_control,21,-0.03506493506493507,-0.48558851584182916,0.4301761068160691,0.10024815736679939,-0.37532426124486534,0.5340385417957048,0.2,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,10000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.6142857142857143,-0.8369694877593005,-0.21707404380113404,-0.8070152905218969,-0.9236906191451104,-0.5533648356597143,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,10000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6493506493506493,0.27196359660305663,0.8536260486212373,0.768891300057849,0.479564049372579,0.9074350568771447,1.0,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,10000,early_layer_prior,baseline,21,-0.8298701298701299,-0.9332383095270352,-0.5996029499032763,-0.7893031517118632,-0.9161902827349545,-0.5185749247225069,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,10000,source_observed_drift_positive_control,positive_control,21,0.1,-0.37553959977759604,0.5338593379717645,0.1511880848607443,-0.33000688741425127,0.5700170927599286,0.2,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,10000,2000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.6909090909090909,-0.8728406142355174,-0.34036120226417216,-0.8416055493814036,-0.9380847347858707,-0.6239578900415366,0.0,,,1.0,,-0.11792713215154826,0.6101643131658269
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,10000,2000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6779220779220779,0.31858088401714146,0.866896052887211,0.8061622220510196,0.5516687173066094,0.9233314191746825,0.8,1.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,10000,2000,early_layer_prior,baseline,21,-0.9090909090909091,-0.9652401445292472,-0.7727302050492213,-0.7744439399140922,-0.9098287136972307,-0.49006414323752584,0.0,,,1.0,,-0.11792713215154826,0.6101643131658269
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,10000,2000,source_observed_drift_positive_control,positive_control,21,-0.12337662337662336,-0.5505711124195122,0.35502661881523545,-0.035040741792582084,-0.4855700042886817,0.4301958471370115,0.0,1.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,10000,5000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.7051948051948052,-0.8793178602092668,-0.36476204664228123,-0.8229447817014449,-0.93036055803203,-0.5854278903852703,0.0,,,1.0,,-0.11792713215154826,0.6101643131658269
