problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,checkpoint_recovery,continuation_variant,continuation_algo,horizon,loss_before,loss_after,total_decrease,recovery_before,recovery_after,finite
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,own_fresh,Muon,10,0.0047606310648114865,8.151742545619093e-05,0.004679113639355296,1.132896832200625,1.1637645019298797,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,switched_fresh,Adam,10,0.0047606310648114865,0.0009183749219924671,0.0038422561428190193,1.132896832200625,1.1567982335102927,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,own_fresh,Muon,30,0.0047606310648114865,8.792953169737628e-05,0.00467270153311411,1.132896832200625,1.1637782385907767,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,switched_fresh,Adam,30,0.0047606310648114865,0.00011576329572870567,0.0046448677690827805,1.132896832200625,1.1501982953309278,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,own_fresh,Adam,1,0.004762389498645662,0.0030614449465318026,0.0017009445521138592,1.2286091743358996,1.19492315276866,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,switched_fresh,Muon,1,0.004762389498645662,0.003007975253331437,0.0017544142453142248,1.2286091743358996,1.206271668962319,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,own_fresh,Adam,3,0.004762389498645662,0.0023484004012359703,0.0024139890974096915,1.2286091743358996,1.2091537229759453,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,switched_fresh,Muon,3,0.004762389498645662,0.0008075423345519189,0.003954847164093743,1.2286091743358996,1.173687221301855,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,own_fresh,Adam,10,0.004762389498645662,0.0006239304729557606,0.004138459025689901,1.2286091743358996,1.189132294615028,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,switched_fresh,Muon,10,0.004762389498645662,0.00012475876635448295,0.0046376307322911784,1.2286091743358996,1.1538901280563103,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,own_fresh,Adam,30,0.004762389498645662,0.00012111956502896902,0.004641269933616693,1.2286091743358996,1.1823395986042788,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Adam,3,0.004762389498645662,1.2286091743358996,switched_fresh,Muon,30,0.004762389498645662,0.00013173078619728242,0.004630658712448379,1.2286091743358996,1.1535961118691997,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,own_fresh,Muon,1,0.004009297459374054,0.0025160609935671804,0.0014932364658068733,1.1479540154375898,1.1490139268409256,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,switched_fresh,Adam,1,0.004009297459374054,0.004233873585606217,-0.00022457612623216338,1.1479540154375898,1.1962364791115012,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,own_fresh,Muon,3,0.004009297459374054,0.0006794934236882858,0.003329804035685768,1.1479540154375898,1.1603638259089188,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,switched_fresh,Adam,3,0.004009297459374054,0.0021971503663772794,0.0018121470929967744,1.1479540154375898,1.2141051603228603,True
