group_type,problem_family,base_setting,source_algo,horizon,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,30,total_decrease,5,2,1.0010676455345626,0.9920124741242344,1.0101228169448908,1.0010464509158732,0.9920508292864086,1.0101236421646675,5,1.2579331416902793e-07,-1.208791195267877e-06,1.460377823605933e-06
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,30,recovery_after,5,3,0.943292683419315,0.6674596609900866,1.2191257058485436,0.9218563373977775,0.6822366874988933,1.2456367744102352,5,-0.011817939647905448,-0.05268485925497758,0.029048979959166683
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,1,loss_after,5,0,1.4256722929157988,1.313353622885443,1.5379909629461546,1.4233856665344484,1.3158129744770806,1.5397528334153132,5,2.922258661309647e-05,2.395803289182185e-05,3.448714033437109e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,1,total_decrease,5,0,0.1428570230149264,0.12734643765768577,0.158367608372167,0.14241697182458085,0.12767544445146412,0.15886056986779393,5,-2.922258661309647e-05,-3.448714033437109e-05,-2.395803289182185e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,1,recovery_after,5,0,1.1733964224046687,1.1323804311156516,1.2144124136936858,1.1730245630897203,1.1327379379709057,1.2147440104960725,5,0.12503035450345887,0.10419247309772259,0.14586823590919515
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,3,loss_after,5,0,2.6608436798540795,2.1400957701493235,3.1815915895588356,2.636718404211656,2.1950805829364746,3.1672112619246198,5,5.414745558248711e-05,5.080402183414746e-05,5.7490889330826755e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,3,total_decrease,5,0,0.22404814222513184,0.20154521933014918,0.2465510651201145,0.2234426069488715,0.20157777618125414,0.2476790822179476,5,-5.414745558248711e-05,-5.7490889330826755e-05,-5.080402183414746e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,3,recovery_after,5,0,1.6368072635186155,1.5152721650943946,1.7583423619428364,1.6344949597501526,1.518509051704926,1.7593400384733358,5,0.31248280107645315,0.2883164083094978,0.3366491938434085
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,10,loss_after,5,0,5.912447464643495,5.074101663445177,6.750793265841812,5.882280646646381,5.115452262552098,6.764059916893451,5,3.534679482902055e-05,2.7304841213774655e-05,4.338874844426644e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,10,total_decrease,5,0,0.6349390678036775,0.5660444494946048,0.7038336861127502,0.6329526113943293,0.5666953174667442,0.7069566236435532,5,-3.534679482902055e-05,-4.338874844426644e-05,-2.7304841213774655e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,10,recovery_after,5,0,2.4038264907310336,2.2012214824368344,2.606431499025233,2.3994530354944406,2.2071824875449795,2.608472521883471,5,0.3405058119791152,0.2765233103814576,0.40448831357677284
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,30,loss_after,5,2,1.130100744706389,0.6849015652310206,1.5752999241817576,1.0858309645508162,0.7337482870847629,1.6068574255372046,5,7.181714016162637e-08,-2.433008271043898e-07,3.869351074276425e-07
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,30,total_decrease,5,2,0.9993300129410476,0.9963377277518843,1.002322298130211,0.9993276866125653,0.9963384598964962,1.0023258816428366,5,-7.181714016163182e-08,-3.8693510742764717e-07,2.4330082710438347e-07
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Adam,30,recovery_after,5,3,1.0055533079417078,0.807427541784206,1.2036790740992098,0.9955060827593821,0.817863011698313,1.2117339293202982,5,3.52752268415385e-05,-0.01452478130017221,0.014595331753855287
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,1,loss_after,5,5,0.9112814071371131,0.8920876120376879,0.9304752022365383,0.911176844272753,0.8922303107677583,0.9305257079020707,5,-1.2242072113491181e-05,-1.4937256704961747e-05,-9.546887522020615e-06
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,1,total_decrease,5,5,19.29714535154845,15.975611768388617,22.618678934708285,19.138335893424994,15.958869298982275,22.951243844883017,5,1.2242072113491181e-05,9.546887522020615e-06,1.4937256704961747e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,1,recovery_after,5,5,0.9581338345334791,0.9480633183388492,0.9682043507281091,0.9581063954426827,0.9480957898202327,0.9682226994829554,5,-0.04157932878177106,-0.05153301602592957,-0.031625641537612555
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,3,loss_after,5,5,0.44416125309634225,0.4007715863031276,0.4875509198895569,0.44307566545440424,0.4021846630504055,0.48812414632842177,5,-7.565245111198536e-05,-8.210179411122776e-05,-6.920310811274296e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,3,total_decrease,5,5,30.932190470831063,25.462450323541315,36.401930618120815,30.694208431862947,25.8833208995771,36.39928720560891,5,7.565245111198536e-05,6.920310811274296e-05,8.210179411122776e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,3,recovery_after,5,5,0.6916305185005353,0.6533718332051984,0.7298892037958721,0.6910819997732955,0.6539114180906677,0.7303654855961496,5,-0.30432390404544674,-0.341607956336588,-0.26703985175430545
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,10,loss_after,5,5,0.134329156549871,0.12050009071993903,0.14815822237980295,0.13394638964397698,0.12049477583388318,0.14889969440161335,5,-0.000104404349484906,-0.00010945864113147462,-9.93500578383374e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,10,total_decrease,5,5,6.8548263687019695,5.712126122915206,7.997526614488733,6.809069139014664,5.815343154434942,7.972603044847639,5,0.000104404349484906,9.93500578383374e-05,0.00010945864113147462
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,10,recovery_after,5,5,0.3637011199721781,0.33767689682918833,0.3897253431151678,0.3632114899469137,0.3378780722973905,0.39044435625092166,5,-0.5941018667610779,-0.6242749772903269,-0.5639287562318289
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,30,loss_after,5,2,0.9617957560989069,0.4134937462957595,1.5100977659020542,0.8593324558767991,0.4224887696918014,1.7478624822665456,5,-4.2928001207992527e-07,-1.784978809630021e-06,9.264187854701705e-07
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,30,total_decrease,5,2,1.003378952731468,0.9929801549375648,1.0137777505253713,1.0033511480370203,0.9930502452999717,1.0137589019608044,5,4.292800120799293e-07,-9.264187854701656e-07,1.7849788096300243e-06
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+05,Muon,30,recovery_after,5,3,0.9105419405941886,0.5970527433920434,1.2240311377963338,0.879014206462128,0.6001913975365155,1.2873659608145844,5,-0.01834780707539844,-0.06668944157900021,0.029993827428203324
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,loss_after,5,2,1.0437366210226493,0.9224316417263847,1.165041600318914,1.0400110799770803,0.9242738176495588,1.1702409240864091,5,0.00012049371431128884,-0.0002533972449653512,0.0004943846735879289
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,total_decrease,5,2,0.9581228958277437,0.7666773712205907,1.1495684204348968,0.9485851587518094,0.7808251561061647,1.1523883373473849,5,-0.00012049371431128884,-0.0004943846735879289,0.0002533972449653512
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,recovery_after,5,0,1.0189667804343574,1.01437792125649,1.0235556396122247,1.0189614228916533,1.014385908642985,1.0235575755684203,5,0.022084228673142147,0.016543963357784887,0.027624493988499407
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,loss_after,5,5,0.35771242060968506,0.3335638518868339,0.3818609893325362,0.3572807840007114,0.3336033254378728,0.38263874752631993,5,-0.0016038182983670614,-0.0016936398053471289,-0.001513996791386994
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,total_decrease,5,5,1.616412495217919,1.5588254845061122,1.673999505929726,1.6158878794518436,1.5599328861647106,1.673849985545901,5,0.0016038182983670614,0.001513996791386994,0.0016936398053471289
