problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
MatrixSensing,overlap MS d=20 rank=5 kappa=1 measurement_multiplier=2 lr=1e-02,1.0,0.01,Adam,5,0.08574183673021565,0.9653131885269549,13.60305831679837,70.45777245157319,0.19747016952001667,0.2047519602781606,0.2047519602781606,0.005969264761327725
MatrixSensing,overlap MS d=20 rank=5 kappa=1 measurement_multiplier=2 lr=1e-02,1.0,0.01,Muon,5,0.08486701791076517,0.973400207553724,13.051464630159773,70.45777245157319,0.18806119420480794,0.20475196027816062,0.20475196027816062,0.0060610491686630685
MatrixSensing,overlap MS d=20 rank=5 kappa=1 measurement_multiplier=2 lr=3e-02,1.0,0.03,Adam,5,0.0446637246514717,0.8962461483904852,13.373834700363076,70.45777245157319,0.18725753088651118,0.4164756989413606,0.4164756989413606,0.01462158612672182
MatrixSensing,overlap MS d=20 rank=5 kappa=1 measurement_multiplier=2 lr=3e-02,1.0,0.03,Muon,5,0.04429293556805871,0.9269167353363027,11.55447048792439,70.45777245157319,0.16279261300852294,0.41647569894136055,0.41647569894136055,0.014132027099841044
MatrixSensing,overlap MS d=20 rank=5 kappa=1 measurement_multiplier=2 lr=3e-03,1.0,0.003,Adam,5,0.1047182660506699,0.9942517519978024,13.731408331179844,70.45777245157319,0.1982457239696725,0.06527113297917123,0.06527113297917123,0.0018786952306570764
MatrixSensing,overlap MS d=20 rank=5 kappa=1 measurement_multiplier=2 lr=3e-03,1.0,0.003,Muon,5,0.1043237551833166,0.9966204257671456,13.547294919411268,70.45777245157319,0.19563293999201817,0.06527113297917123,0.06527113297917123,0.001955500234839161
SmallMLPDigits,overlap SmallMLPDigits d=64 rank=10 hidden_dim=16 num_samples=128 lr=1e-02,1.0,0.01,Adam,5,2.2863352241925208,0.7890625,4.122430497044668,1.295861109153953,3.193783043133923,0.12883998136105082,0.13025009130807963,0.00192021610345261
SmallMLPDigits,overlap SmallMLPDigits d=64 rank=10 hidden_dim=16 num_samples=128 lr=1e-02,1.0,0.01,Muon,5,2.2912279329179346,0.40625,5.264634284477527,1.4087556193385675,3.7298632718580107,0.1288399813610508,0.14138412355256597,0.0017532314359876011
SmallMLPDigits,overlap SmallMLPDigits d=64 rank=10 hidden_dim=16 num_samples=128 lr=3e-02,1.0,0.03,Adam,5,2.175569443851992,0.75,3.8405840089549175,1.2763992234643347,2.8757113685319298,0.2467674371559742,0.24303716404904052,0.015421459259121306
SmallMLPDigits,overlap SmallMLPDigits d=64 rank=10 hidden_dim=16 num_samples=128 lr=3e-02,1.0,0.03,Muon,5,2.2256343032036927,0.3828125,5.539294706432601,1.4187609868796351,3.8588667086197885,0.24676743715597427,0.24737000549620394,0.0121080447471964
SmallMLPDigits,overlap SmallMLPDigits d=64 rank=10 hidden_dim=16 num_samples=128 lr=3e-03,1.0,0.003,Adam,5,2.3002725948211724,0.7421875,4.744922603684903,1.3332896195145088,3.626881970085721,0.04295307663089115,0.04513992998019922,0.0003052249857455891
SmallMLPDigits,overlap SmallMLPDigits d=64 rank=10 hidden_dim=16 num_samples=128 lr=3e-03,1.0,0.003,Muon,5,2.300757931185068,0.7109375,5.119856692699065,1.4551654052878025,3.530728396812194,0.04295307663089116,0.05206363727490833,0.0003171628740057386
