metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
update_normalized_rank_plane_mean_speed,SmallMLPDigits,15,11,4,0.9399475500181621,0.8784509443668919,1.0057492708621236,-1.5673336421046171,-2.5680946938560716,-0.5665725903531627,False,True
update_normalized_condition_mean_speed,All,90,42,48,1.8497558911722445,1.392874807187315,2.4564999232312807,-7.242859707570511,-10.339690178750788,-4.146029236390234,False,True
update_normalized_condition_mean_speed,MatrixFactorizationInput,30,30,0,0.437982435703088,0.35253125589660034,0.5441464005695829,-22.904692502520767,-29.113374667827603,-16.69601033721393,True,True
update_normalized_condition_mean_speed,MatrixSensing,45,0,45,6.062849039393583,4.936046691946638,7.446878193929589,1.3714360732898354,1.1225607759176568,1.620311370662014,False,False
update_normalized_condition_mean_speed,SmallMLPDigits,15,12,3,0.9370070570291895,0.8703612733576372,1.0087560784218557,-1.7620814602510362,-3.0174703594158836,-0.5066925610861888,False,True
per_update_rank_plane_mean_speed,All,90,40,50,1.939018722494589,1.4786164990550357,2.5427780689498474,-10.022186320009515,-15.661522619245215,-4.382850020773817,False,True
per_update_rank_plane_mean_speed,MatrixFactorizationInput,30,30,0,0.49707011710385224,0.42867318363833506,0.5763801206797527,-31.616282841076075,-45.73276593523661,-17.499799746915542,True,True
per_update_rank_plane_mean_speed,MatrixSensing,45,0,45,6.053014741336142,4.8678768798268806,7.526687375900859,1.5137719885783434,1.2487528550920284,1.7787911220646584,False,False
per_update_rank_plane_mean_speed,SmallMLPDigits,15,10,5,0.9699324968406682,0.8969699974915406,1.0488300066429428,-1.4418682036399575,-2.506250838340007,-0.37748556893990837,False,True
per_update_condition_mean_speed,All,90,41,49,1.8516470806798855,1.3913681701928207,2.4641909918890814,-7.263729814824043,-10.379313591456567,-4.148146038191518,False,True
per_update_condition_mean_speed,MatrixFactorizationInput,30,30,0,0.43706574776706164,0.3511707219706847,0.5439703708759849,-23.04055592637075,-29.276059102031724,-16.805052750709777,True,True
per_update_condition_mean_speed,MatrixSensing,45,0,45,6.053014741336241,4.867876879826919,7.526687375901045,1.4048340827877135,1.1548691084115021,1.6547990571639248,False,False
per_update_condition_mean_speed,SmallMLPDigits,15,11,4,0.9513504948936439,0.8794818983053744,1.0290919754895544,-1.7157692845659016,-3.0090061018641094,-0.42253246726769356,False,True
