group_type,problem_family,setting,checkpoint_source,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
family_source,MatrixSensing,All,Init,PolarMuon/GD,update_grad_inner,30,0.8260849631611463,0.8250593865751824,0.8271118145733238,False,True,0.0
family_source,MatrixSensing,All,Init,PolarMuon/GD,update_grad_cosine,30,0.8260849631611464,0.8250593865751825,0.8271118145733237,False,True,0.0
family_source,MatrixSensing,All,Init,PolarMuon/GD,nrUpdate,30,1.4653810331844634,1.46174477868119,1.4690263332796936,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/GD,stUpdate,30,8.191278567016738,8.031419621432487,8.354319376292324,True,False,1.0
family_source,MatrixSensing,All,Muon,FreshAdamSign/GD,delta_loss,90,0.7990862602963673,0.7982219205687252,0.7999515359581721,False,True,0.0
family_source,MatrixSensing,All,Muon,FreshAdamSign/GD,update_grad_inner,90,0.796995363057815,0.7962077689963506,0.7977837361928201,False,True,0.0
family_source,MatrixSensing,All,Muon,FreshAdamSign/GD,update_grad_cosine,90,0.796995363057815,0.7962077689963506,0.7977837361928201,False,True,0.0
family_source,MatrixSensing,All,Muon,FreshAdamSign/GD,nrUpdate,90,1.0872559313463546,1.0806070347980679,1.0939457380718716,True,False,1.0
family_source,MatrixSensing,All,Muon,FreshAdamSign/GD,stUpdate,90,1.5547241484912284,1.5363126444219029,1.5733563000201225,True,False,1.0
family_source,MatrixSensing,All,Muon,PolarMuon/FreshAdamSign,delta_loss,90,1.0022514110372933,0.9985050315302763,1.0060118469175559,False,False,0.5333333333333333
family_source,MatrixSensing,All,Muon,PolarMuon/FreshAdamSign,update_grad_inner,90,1.0015788823163576,0.9976731374205389,1.005499917634078,False,False,0.5333333333333333
family_source,MatrixSensing,All,Muon,PolarMuon/FreshAdamSign,update_grad_cosine,90,1.0015788823163576,0.9976731374205389,1.0054999176340782,False,False,0.5333333333333333
