seed,geometry,step,target_first_order_head_gain,actual_head_loss_decrease,head_batch_loss_after,tail_loss,tail_loss_increase,tail_accuracy,tail_accuracy_drop,tail_margin,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,cumulative_condition_proxy,condition_score_tail,nrG,stA_tail,tail_eval_examples
12,frobenius,3,0.004067113722741314,0.003938525829163042,0.20223167721818838,11.566827047758903,0.007289216865709491,0.185,0.0,-10.614251324655424,0.011475698728013128,1.1185791405210013,0.02501218996418247,4.632627202279968,2.372305241221023,2.9627978354564406,1.2322982245121397,200
12,frobenius,4,0.0039282293499193766,0.003760204484853452,0.1913011284621122,11.57874989362509,0.01921206273189746,0.185,0.0,-10.639082758727096,0.036307132799684894,1.804545838794977,0.04035087164059945,6.125088779943178,2.2274415608009597,2.781373622897265,1.2322846377354988,200
12,frobenius,5,0.0026797256062941815,0.0026038614786304815,0.12942024626511361,11.58905429112483,0.0295164602316369,0.185,0.0,-10.652481406034058,0.04970578010664717,2.4294658724785547,0.054324508398778844,7.829336558161321,2.904460489561477,3.5746147131146637,1.2322969394780128,200
12,frobenius,6,0.0024420090357161156,0.0023970336873948977,0.11523921760086835,11.598440113770293,0.038902282877099736,0.185,0.0,-10.667491155497368,0.0647155295699573,2.8980358015414236,0.06480205053474708,9.202457016780142,1.8854597938775637,2.3291649267123216,1.2322537604138346,200
12,frobenius,7,0.0020236489357924863,0.001965781655750634,0.09736245934048689,11.605419476167869,0.045881645274675975,0.185,0.0,-10.679927456216582,0.07715183028917139,3.0864331948459682,0.0690147443168744,10.605319805269898,1.968024003329253,2.454558638577937,1.2322261157404277,200
12,frobenius,8,0.003996134693433831,0.0038339270639008716,0.19392293662987306,11.601882270621402,0.04234443972820934,0.185,0.0,-10.67543889050658,0.0726632645791696,3.302578350363464,0.07384789692431824,12.26980492834269,2.770510724930645,3.4683082773569653,1.2322191904718343,200
12,spectral,0,0.0,0.0,,11.559537830893193,0.0,0.185,0.0,-10.60277562592741,0.0,0.0,0.0,0.0,,,,200
12,spectral,1,0.002214197994667425,0.0021784784109396965,0.10853142132243156,11.565229159806256,0.0056913289130626765,0.185,0.0,-10.611697076211367,0.008921450283956744,0.5637232891490903,0.012605235950371357,1.455020019791051,2.1170832579927503,2.6077647970781883,1.2323152954802663,200
12,spectral,2,0.0028726149252578477,0.002797785059266311,0.13923333268518193,11.560348293848016,0.0008104629548224551,0.185,0.0,-10.603948239334013,0.001172613406602352,0.9474745383606727,0.02118617474724696,3.0829323092454883,2.6500984221567885,3.3058755013242296,1.2322690049304112,200
12,spectral,3,0.004067113722741314,0.0039750463708004835,0.20048724393900644,11.567716659222857,0.008178828329663546,0.185,0.0,-10.621328981876418,0.018553355949007866,1.1826523306241172,0.02644491005024083,4.623344253166094,2.372868956973259,2.9632345872774906,1.2322301563157925,200
12,spectral,4,0.0039282293499193766,0.003838040259200759,0.18948841004047048,11.5749249100625,0.015387079169306261,0.185,0.0,-10.636344414418467,0.03356878849105627,1.8254060697640233,0.0408173205853308,6.12991082321068,2.2697428299759093,2.8335540771821965,1.2321481055899364,200
12,spectral,5,0.0026797256062941815,0.002636426272958181,0.1286123608640793,11.586023235132505,0.02648540423931145,0.185,0.0,-10.652331759075869,0.049556133148458414,2.244401112259907,0.05018633455789291,7.824773131981706,2.872558245692655,3.5319405371619768,1.2321628951084915,200
12,spectral,6,0.0024420090357161156,0.0024021238190407163,0.11493042768896469,11.59751920290312,0.03798137200992713,0.185,0.0,-10.671812194903369,0.06903656897595845,2.6890555675413568,0.06012911044296751,9.191569582850148,1.868132538106571,2.3076802013442252,1.2320986010684423,200
12,spectral,7,0.0020236489357924863,0.0019837590607115763,0.0962477168498277,11.605300116927642,0.04576228603444932,0.185,0.0,-10.686170469917215,0.08339484398980446,2.9580164534581086,0.06614325868495173,10.590704209417398,1.9575777032594786,2.4422479752319495,1.2320578667940714,200
12,spectral,8,0.003996134693433831,0.003893507148914288,0.19035118065951823,11.604311336727738,0.04477350583454509,0.185,0.0,-10.686749642308028,0.0839740163806173,3.3698234568905905,0.07535154321780699,12.244694608910576,2.735684241615604,3.422599301261968,1.2320248968253122,200
