warmup_steps,parameter,shape,mean_gradient_nuclear_rank,std_gradient_nuclear_rank,min_gradient_nuclear_rank,max_gradient_nuclear_rank,seeds
2000,layer2.1.conv1.weight,128x128x3x3,45.7597013180296,8.028899364491016,37.25384267360677,65.0288348353116,10
2000,layer2.1.conv2.weight,128x128x3x3,37.35828890067826,8.543553893820844,29.4654901410818,60.091516656305245,10
2000,layer3.0.conv1.weight,256x128x3x3,53.47365339943502,11.51390471663621,43.01002060153941,83.38909288157106,10
2000,layer3.0.conv2.weight,256x256x3x3,56.2643984025331,11.200086584122932,44.50485895228348,84.94353014701417,10
2000,layer3.0.downsample.0.weight,256x128x1x1,21.96829302275525,5.489736303262364,17.24066987801278,36.64666223399434,10
2000,layer3.1.conv1.weight,256x256x3x3,51.39720897159465,11.92372363942423,41.203383814278126,83.24022972403425,10
2000,layer3.1.conv2.weight,256x256x3x3,36.74411973269956,8.362109448488646,30.22985086896631,58.64942907532989,10
2000,layer4.0.conv1.weight,512x256x3x3,40.125805023625645,3.1237549892799006,34.81368429952142,44.42814303532072,10
2000,layer4.0.conv2.weight,512x512x3x3,38.33290080441589,2.2056235663610013,34.987585485421725,41.85247195615087,10
2000,layer4.0.downsample.0.weight,512x256x1x1,15.80892435286454,0.8383604411565069,14.396808643176444,17.295960495704218,10
2000,layer4.1.conv1.weight,512x512x3x3,25.766409708488357,0.9066590544707824,24.42311576768741,27.58190505729397,10
2000,layer4.1.conv2.weight,512x512x3x3,16.963255738537537,1.2167453149500784,16.023419131564353,20.301239660450904,10
