hidden_dim,num_samples,algo,baseline,metric,n_pairs,higher_than_adam_pairs,win_rate_vs_adam,geomean_ratio_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_vs_adam,delta_ci95_low,delta_ci95_high
128,128,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.5905349383103845,0.551372906192559,0.6324785085530847,False,True,-0.0033226582491145866,-0.004009086969799063,-0.00263622952843011
128,128,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.6236372363068374,0.5873841843280471,0.6621278081454456,False,True,-0.20026196108886876,-0.22075698962889911,-0.1797669325488384
128,128,MuonFirstAdamSecond,Adam,delta_loss,50,0,0.0,0.6000371835090091,0.5641673876799203,0.6381875830754246,False,True,-0.003369155513445694,-0.0040534345433458204,-0.002684876483545568
128,128,MuonFirstAdamSecond,Adam,update_grad_inner,50,0,0.0,0.5995810591822319,0.5670181091512699,0.6340140477491872,False,True,-0.0032270706453692856,-0.0038548534861735837,-0.0025992878045649876
128,128,MuonFirstAdamSecond,Adam,update_grad_cosine,50,0,0.0,0.6243013263024306,0.5911521873537086,0.6593093189212383,False,True,-0.2031996265051504,-0.22292223066297082,-0.18347702234732996
128,1024,Muon,Adam,delta_loss,50,0,0.0,0.5562426141067799,0.5218105410920083,0.5929467141480916,False,True,-0.0028860916994743048,-0.003399125526839826,-0.0023730578721087837
128,1024,Muon,Adam,update_grad_inner,50,0,0.0,0.5650577061417612,0.5317265342885356,0.6004782358612363,False,True,-0.002722753892552694,-0.0031994621089702106,-0.0022460456761351777
128,1024,Muon,Adam,update_grad_cosine,50,0,0.0,0.7401711300249904,0.7320673553125696,0.7483646111887547,False,True,-0.16079891623603018,-0.16711601169608384,-0.15448182077597652
128,1024,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.5704565552796972,0.5350099317545088,0.6082516644025565,False,True,-0.002804781053037253,-0.00331552167303786,-0.0022940404330366463
128,1024,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.5951952552649312,0.5578890756724832,0.634996108254786,False,True,-0.0025628049257657827,-0.003044602157135499,-0.0020810076943960664
128,1024,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.6406340586392941,0.6076065108656203,0.6754568783404991,False,True,-0.21624697747318916,-0.2373104319771154,-0.19518352296926292
128,1024,MuonFirstAdamSecond,Adam,delta_loss,50,0,0.0,0.6023529689255189,0.569669947347064,0.6369110760767204,False,True,-0.002598689554641451,-0.0030616697260576363,-0.002135709383225266
128,1024,MuonFirstAdamSecond,Adam,update_grad_inner,50,0,0.0,0.6036132917168391,0.572723009653331,0.6361696663065418,False,True,-0.00248585989385888,-0.0029163037000816917,-0.0020554160876360686
128,1024,MuonFirstAdamSecond,Adam,update_grad_cosine,50,0,0.0,0.5708075771222275,0.5349162569303962,0.60910710018399,False,True,-0.25743764959086324,-0.2816182531869081,-0.23325704599481836
