hidden_dim,num_samples,algo,layer,points,mean_update_grad_inner,mean_update_grad_cosine,mean_nrG,mean_stA
128,128,AdamFirstMuonSecond,1,50,0.003621399553876828,0.5962075670326974,7.0624102919442295,1.4326331193696915
128,128,AdamFirstMuonSecond,2,50,0.0004893622959314018,0.681990244246917,4.696726170106385,1.207598968172991
128,128,Muon,1,50,0.002072844825812489,0.3346051917781746,7.198286805905093,1.4326331193696915
128,128,Muon,2,50,0.0016726819199316602,0.739471034547515,5.500946280650712,1.332695106378371
128,128,MuonFirstAdamSecond,1,50,0.001034270984416595,0.31402918058316165,6.367906648733912,1.4326331193696915
128,128,MuonFirstAdamSecond,2,50,0.003172078469136935,0.573974958250835,5.462486751954211,1.3128724779536751
128,1024,Adam,1,50,0.003684104972142767,0.6707079234669862,8.319651106238403,1.4358601595714189
128,1024,Adam,2,50,0.00214957496315433,0.7152926168469463,6.2390323595441695,1.2852650876540426
128,1024,AdamFirstMuonSecond,1,50,0.002951503446525587,0.6503243219971497,8.808254287648605,1.4358601595714189
128,1024,AdamFirstMuonSecond,2,50,0.0003193715630057272,0.7902255887581979,6.2559017464598465,1.2811914246924223
128,1024,Muon,1,50,0.0017312028817467145,0.3687833464344708,8.717128120065786,1.4358601595714189
128,1024,Muon,2,50,0.0013797231609976894,0.8240353351160593,6.797429362828041,1.3537564439133067
128,1024,MuonFirstAdamSecond,1,50,0.0008167022949684519,0.33707883203784533,7.315868272308553,1.4358601595714189
128,1024,MuonFirstAdamSecond,2,50,0.0025311177464697656,0.6506611711539937,6.738228040373511,1.3256996948445277
