seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail
5,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.09411919695614904,0.09226637157872183,0.001852825377427203,0.015702727313721892,0.0018823839391229808,12.176572461421912,12.183526776273423,0.006954314851510546,0.19,0.19,0.0,-11.177556862982529,-11.191278196166,0.013721333183470463,0.19,1.0,0.01,0.0,0.674998626745735,0.015093428141224703,0.6749901117652861,0.048914657839779566,0.3063851285654768,0.32283602622379176,0.022827954335416123,0.674995093006456,4.044913803972291e-05,5.9925084580334916e-05,0.005004561157215329,0.004383729370172891,0.005004561157215328,0.37613366686688465,3.4616140268261626,1.235244288640418,2.7793117882029286
5,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.09411919695614904,0.09226089680204744,0.0018583001541015998,0.012794300100436423,0.0018823839391229808,12.176572461421912,12.182177541176399,0.005605079754486653,0.19,0.19,0.0,-11.177556862982529,-11.18904686412339,0.011490001140860073,0.19,1.0,0.01,0.0,0.471176770638045,0.010535832885654956,0.4710171329603055,0.07938169566688737,0.2328818343220196,0.26237301831498366,0.01855257404509072,0.47115411062591045,0.000242443339243582,0.0005145733291417222,0.014820156261661385,0.002286799758136026,0.002286799758136024,0.8231520632385043,3.4616140268261626,1.235244288640418,2.7793117882029286
6,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1419396145581634,0.1391471478266722,0.0027924667314911944,0.01631875633038676,0.002838792291163268,11.464374371250493,11.46374513013117,-0.0006292411193236092,0.19,0.19,0.0,-10.452985597780057,-10.453415912707205,0.0004303149271489559,0.19,1.0,0.015,0.0,0.5309438628737592,0.011872265696220515,0.5309087253426231,0.03269119677813378,0.23474397491009957,0.2349987143567601,0.016616918449178553,0.5309458213419156,1.2171751530287708e-05,2.2924658300398242e-05,0.0036582304218783935,0.0034226919869564817,0.003658230421878393,0.7760014990268526,2.301656995858925,1.230362606086305,1.8607292984280699
6,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1419396145581634,0.13913589511357022,0.002803719444593178,0.012354847756655775,0.002838792291163268,11.464374371250493,11.463602249180104,-0.0007721220703889031,0.19,0.19,0.0,-10.452985597780057,-10.45401350473238,0.0010279069523235762,0.19,1.0,0.015,0.0,0.4124735159137826,0.00922318820501559,0.4123034655258309,0.07452864212479436,0.18543278716216038,0.19668615547649473,0.013907811430294102,0.41248701307908825,0.0003248771891872355,0.0007876058612418547,0.013303057331402057,0.0020527063109731054,0.002052706310973104,1.3829510222616856,2.301656995858925,1.230362606086305,1.8607292984280699
7,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.09785756788470149,0.09593836362722319,0.0019192042574782964,0.01938894509438636,0.0019571513576940296,12.198531688275327,12.200841648068353,0.0023099597930258398,0.19,0.19,0.0,-11.235379752294689,-11.240665455683985,0.005285703389295904,0.19,1.0,0.0,0.0,0.637721441715583,0.01425988494385214,0.6376827544780227,0.07804393041252894,0.25320139172040723,0.25887479269097685,0.018305212139005142,0.637732344321612,5.996759675501795e-05,9.403254717903403e-05,0.00520359931443142,0.004298502073669341,0.005203599314431419,0.37611492342735875,3.6949074233635484,1.2339769189352914,2.9802341764306206
7,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.09785756788470149,0.09592828445057344,0.001929283434128043,0.014239023188692707,0.0019571513576940296,12.198531688275327,12.20039856693402,0.0018668786586921726,0.19,0.19,0.0,-11.235379752294689,-11.240996220309212,0.0056164680145229795,0.19,1.0,0.0,0.0,0.47147060258628676,0.010542403167757248,0.4711868019756711,0.09194828085049335,0.22518647169349976,0.24165301629402147,0.017087448651568585,0.47148399550185044,0.0002414285294111439,0.0005120609219283592,0.0147591546824413,0.002277387010109389,0.0022773870101093874,0.8593846144753516,3.6949074233635484,1.2339769189352914,2.9802341764306206
8,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.18394192933205641,0.1803344477696353,0.0036074815624211054,0.019396617312632255,0.0036788385866411283,11.68852313087508,11.68044472762791,-0.00807840324717013,0.19,0.19,0.0,-10.713790814248428,-10.708381522725126,-0.005409291523301718,0.19,1.0,0.005,0.0,1.073725067296379,0.024009222396202394,1.073488675051074,0.16196308431654188,0.24376233640982467,0.2531456260679553,0.01790009888203653,1.0738280332842456,0.00015880839770063263,0.00014788997193053866,0.008114889520309502,0.006860409428367268,0.008114889520309504,0.45334426025566105,3.048577377933989,1.2323668542525548,2.4734219969558975
8,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.18394192933205641,0.18032330065167895,0.0036186286803774614,0.016366552879570614,0.0036788385866411283,11.68852313087508,11.685635980193892,-0.0028871506811878334,0.19,0.19,0.0,-10.713790814248428,-10.714852309680818,0.0010614954323902026,0.19,1.0,0.005,0.0,0.7458439903226963,0.016677578629712433,0.7447997716742004,0.1664462029196784,0.22042294752759437,0.2539608155655919,0.017957741484209616,0.7458918478720752,0.0010362371697166023,0.0013892592775652953,0.023713961194151187,0.003659143653128579,0.0036591436531285774,1.005382388717019,3.048577377933989,1.2323668542525548,2.4734219969558975
9,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.12928946779084746,0.12675715915460187,0.002532308636245595,0.02068255074646558,0.0025857893558169495,11.775788464259584,11.777116037640031,0.001327573380446978,0.195,0.195,0.0,-10.648470990167068,-10.65485462043172,0.006383630264652496,0.195,1.0,0.005,0.0,0.7013769714712825,0.015683265860627186,0.7013120694798799,0.11039664520075712,0.23525837984294581,0.2728005509073987,0.01928991194580476,0.7013467930224322,7.235060350753844e-05,0.0001031595271089011,0.005578424736886702,0.0047687587716196324,0.005578424736886703,0.46353396841920436,3.603759236203245,1.235594004113368,2.899009807917953
9,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.12928946779084746,0.12673923133024284,0.0025502364606046213,0.013749339300337435,0.0025857893558169495,11.775788464259584,11.77684705976681,0.001058595507226201,0.195,0.195,0.0,-10.648470990167068,-10.654345791175926,0.005874801008857844,0.195,1.0,0.005,0.0,0.4578790413397199,0.010238486619080498,0.45771105741024276,0.11494041114886454,0.18091565657850597,0.23021127131947028,0.01627839510555736,0.4578492008678852,0.0002866094861770882,0.0006259910154561804,0.015623035805774265,0.0024106867614086805,0.002410686761408679,1.0726359795936116,3.603759236203245,1.235594004113368,2.899009807917953
