seed,direction,head_classes,tail_classes,warmup_steps,hidden_dim,momentum_beta,momentum_history_steps,newton_schulz_steps,head_gradient_fro_norm,momentum_fro_norm,gradient_momentum_cosine,direction_cosine_to_polar_grad,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,update_fro_norm,update_op_norm,step_size,alignment
2,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4500191660927865,0.2759755000060825,0.6722340928587109,0.35429935295919784,0.07124342048000178,0.06983694864805907,0.0014064718319427016,0.0014248684096000355,11.725707451088237,11.724758036964472,-0.0009494141237649245,0.2,0.2,0.0,-10.66165616108613,-10.663935743075331,0.002279581989201418,0.44321307196995285,0.009910545574413218,0.013943888669815649,0.0021515887332510136,0.0021515887332510123,0.6622401333395553
2,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4500191660927865,0.2759755000060825,0.6722340928587109,0.37900626116541963,0.07124342048000178,0.06983731526987731,0.0014061052101244642,0.0014248684096000355,11.725707451088237,11.723850358899767,-0.0018570921884695224,0.2,0.2,0.0,-10.66165616108613,-10.663066349986291,0.0014101889001612022,0.42914977050313635,0.009596080593734466,0.0063244469324636515,0.0022156527046954286,0.002215652704695429,0.6430919460348831
3,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3896784356294623,0.20555303068361605,0.30975395396640887,0.37085840692676697,0.21398248248950416,0.20996238127912759,0.004020101210376575,0.004279649649790084,11.37232270136952,11.356262169597981,-0.016060531771538322,0.195,0.195,0.0,-10.353060375527303,-10.332531405957479,-0.020528969569824085,1.3078589016871116,0.029244614091505954,0.010982515988797285,0.00876158222264877,0.010982515988797287,0.38967843562946225
3,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3896784356294623,0.20555303068361605,0.30975395396640887,0.9999999999999998,0.21398248248950416,0.20981415408235835,0.004168328407145816,0.004279649649790084,11.37232270136952,11.360646811206378,-0.011675890163141744,0.195,0.195,0.0,-10.353060375527303,-10.34132728406614,-0.011733091461163525,0.9358717484602671,0.020926728477787412,0.029613771141949578,0.004569504092213549,0.004569504092213544,0.9365676369745737
3,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3896784356294623,0.20555303068361605,0.30975395396640887,0.2797402356049482,0.21398248248950416,0.2102255561911352,0.003756926298368962,0.004279649649790084,11.37232270136952,11.386291010482468,0.013968309112948774,0.195,0.195,0.0,-10.353060375527303,-10.386943912880156,0.03388353735285321,2.093688097240487,0.0468162890911192,0.07124315785143327,0.010993057918354273,0.01099305791835427,0.389304748649116
3,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3896784356294623,0.20555303068361605,0.30975395396640887,0.29685971978112685,0.21398248248950416,0.21038407101348294,0.0035984114760212182,0.004279649649790084,11.37232270136952,11.387850404228242,0.015527702858722847,0.195,0.195,0.0,-10.353060375527303,-10.390599003227576,0.03753862770027361,2.3431995063395625,0.0523955338101921,0.03862470448801766,0.012694479441120708,0.012694479441120711,0.3371268329386701
4,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.6385044187438442,0.3377620638884901,0.9143638253483117,0.2892301182371546,0.16333348702222952,0.160122846710537,0.0032106403116925197,0.0032666697404445904,10.934794569161618,10.938493586397556,0.003699017235938129,0.2,0.2,0.0,-9.865803665958131,-9.872984940307894,0.007181274349763456,0.6903067396961282,0.015435727952867954,0.005116127069051836,0.004659349593043961,0.005116127069051836,0.6385044187438443
4,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.6385044187438442,0.3377620638884901,0.9143638253483117,1.0,0.16333348702222952,0.16010914059563733,0.003224346426592195,0.0032666697404445904,10.934794569161618,10.935835026177385,0.00104045701576716,0.2,0.2,0.0,-9.865803665958131,-9.870263383689435,0.00445971773130438,0.5287619680312641,0.01182347704434477,0.017688777020299324,0.002729437550964657,0.0027294375509646553,1.196828899525495
4,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.6385044187438442,0.3377620638884901,0.9143638253483117,0.3505331133495029,0.16333348702222952,0.16011596062391364,0.0032175263983158786,0.0032666697404445904,10.934794569161618,10.93875138289554,0.003956813733921649,0.2,0.2,0.0,-9.865803665958131,-9.874338311841097,0.008534645882965819,0.6533959099550622,0.014610376708798506,0.021184009372786056,0.0032687636118492436,0.003268763611849242,0.9993594301536333
4,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.6385044187438442,0.3377620638884901,0.9143638253483117,0.3425448875989974,0.16333348702222952,0.16012127518045774,0.0032122118417717838,0.0032666697404445904,10.934794569161618,10.939370177581946,0.0045756084203283365,0.2,0.2,0.0,-9.865803665958131,-9.875182289941502,0.009378623983371526,0.6845254107353433,0.015306453507301906,0.009377951700397135,0.0035215069240037886,0.003521506924003789,0.9276340529612077
